Book	Chapter	Verse	ID	SupportReference	OrigQuote	Occurrence	GLQuote	OccurrenceNote
EXO	front	intro	b4pp		הָ⁠אָבְנָ֑יִם	1		# Introduction to Exodus<br><br>## Part 1: General Introduction<br><br>### Outline of Exodus<br><br>1. Israel in Egypt; preparing to depart from slavery (1–12)<br><br>*   First genealogy (1:1–6)<br>*   Israel as slaves in Egypt (1:7–22)<br>*   Moses’ history to the time of the Exodus (2:1–4:26)<br>*   Israel suffers in Egypt (4:27–6:13)<br>*   Second genealogy (6:14–27)<br>*   Moses and Aaron go to Pharaoh (6:28–7:25)<br>*   The plagues (8:1–11:10)<br><br>1. Instructions for celebrating the Passover (12:1–30)<br>2. From Egypt to Mount Sinai (12:31–18:27)<br><br>*   The Passover; preparing to leave Egypt; leaving Egypt (12:31–50, 13:1–22)<br>*   Journey from Egypt to Mount Sinai (14:1–18:27)<br><br>1. Mount Sinai and the Law (19-40)<br><br>*   Preparing for the covenant (19:1–25)<br>*   The Ten Commandments (20:1–17)<br>*   The covenant described (20:18–23:33)<br>*   The people agree to the covenant; Moses returns to Mount Sinai (24:1–18)<br>*   Design of the tabernacle and its furnishings; what was required of those who serve in it; tabernacle functions (25:1–31:18)<br>*   The golden calf; Moses prays for the people (32:1–33:22)<br>*   The covenant described again (34:1–35)<br>*   Making of the ark and its furnishings (35:1–38:31) and priestly garments (39:1–43, 40:1–33)<br>*   The cloud (40:34–38)<br><br>### What is the book of Exodus about?<br><br>Exodus continues the story of the previous book, Genesis. The first half of Exodus is about how Yahweh made Abraham’s descendants into a nation. This nation, which would be called “Israel,” was meant to belong to Yahweh and worship him. The second half of Exodus describes how God gave the Israelites his law through Moses. The law of Moses told the Israelites how to obey and worship Yahweh properly.<br><br>The book of Exodus tells how the Israelites were to build the tabernacle. The tabernacle was a tent where Yahweh would be among his people. The Israelites worshiped and sacrificed animals to Yahweh at the tabernacle. (See: [[rc://en/tw/dict/bible/kt/lawofmoses]] and [[rc://en/tw/dict/bible/kt/tabernacle]])<br><br>### How should the title of this book be translated?<br><br>“Exodus” means “exit” or “departure.” Translators may translate this title in a way that can communicate its subject clearly, for example, “About the Israelites Leaving Egypt” or “How the Israelites Left the Land of Egypt.” (See: [[rc://en/ta/man/translate/translate-names]])<br><br>### Who wrote the book of Exodus?<br><br>The writers of both the Old and New Testaments present Moses as being very involved with writing the book of Exodus. Since ancient times, both Jews and Christians have thought that Moses wrote Genesis, Exodus, Leviticus, Numbers, and Deuteronomy.<br><br>### Why did Moses write so much about God delivering or rescuing the people of Israel?<br><br>Moses wrote much about God rescuing his people from the Egyptians to show that Yahweh is very powerful. Egypt was the most powerful nation at that time, but Yahweh was still able to free the Israelites from the Egyptians. Also, by rescuing the Israelites, Yahweh showed that he had chosen them as his people, and they should worship him.<br><br>### How does the book of Exodus show the fulfillment of the promises given to Abraham?<br><br>The book of Exodus shows God beginning to fulfill his promise to Abraham. In Genesis, God promised Abraham that he would have many descendants and that they would become a large nation. When God rescued the Israelites from the Egyptians, he took them to Mount Sinai. There he made a covenant with them, and they became the nation that belonged to Yahweh.<br><br>## Part 2: Important Religious and Cultural Concepts<br><br>### What was the Jewish Passover?<br><br>The Jewish Passover was a religious festival. Yahweh commanded the Israelites to celebrate it every year. Passover was a time to remember how God rescued Israel from the Egyptians. The first Passover meal was eaten in the evening just before they left Egypt.<br><br>### What was the law of Moses to the people of Israel?<br><br>The law of Moses instructed the people of Israel about what Yahweh required them to do as his people. In the law, God told the people how they should live so that they would honor him. He also instructed them about their need to offer animal sacrifices. God required these sacrifices so that he could forgive their sins and continue living among them. The law also described the duties of the priests and told how to build the tabernacle.<br><br>### What did it mean that Israel was to be a “kingdom of priests and a holy nation” ([19:6](../19/06.md) ULT)?<br><br>Israel was a holy nation because Yahweh separated them from all other nations to belong to him. They were to honor and worship him only. This made them different from all the other nations of the world. These other nations worshiped many false gods.<br><br>## Part 3: Important Translation Issues<br><br>### Thus says Yahweh<br><br>This phrase is used many times in the Old Testament to introduce Yahweh’s speech. Your team should pick a standard translation. See [4:intro](../04/intro.md) for more.<br><br>### Pharaoh’s stubborn heart<br><br>Between chapters 4–14 there are 18 cases where Pharaoh’s heart is described as strong (11x), heavy (6x), or hard (1x), and one case where the Egyptians’ hearts are described as strong. These are metaphors for being stubborn, that is, being unwilling to obey Yahweh or even to do what is clearly in his own and Egypt’s best interest. Many cultures have similar metaphors, but not all will use the same body part. Within these cases, six times there is a neutral description that Pharaoh was stubborn without saying anyone made him so ([7:13](../07/13.md), [7:14](../07/14.md), [7:22](../07/22.md), [8:19](../08/19.md), [9:7](../09/07.md), [9:35](../09/35.md)); three times Pharaoh makes himself stubborn ([8:15](../08/15.md), [8:32](../08/32.md), [9:34](../09/34.md)); and ten times Yahweh makes Pharaoh/the Egyptians stubborn ([4:21](../04/21.md), [7:3](../07/03.md), [9:12](../09/12.md), [10:1](../10/01.md), [10:20](../10/20.md), [10:27](../10/27.md), [11:10](../11/10.md), [14:4](../14/04.md), [14:8](../14/08.md), [14:17](../14/17.md)).<br><br>### Why are the details of the construction of the tabernacle in Exodus 25–32 repeated in Exodus 35–40?<br><br>In Exodus 25–32, God describes exactly how the tabernacle was to be built. The details were repeated in Exodus 35–40. This showed that the people were to be careful to do exactly as God commanded.<br><br>### Are the events in the order that they actually happened?<br><br>Most but not all of the events in the book of Exodus are told in the order that they actually happened. Translators may need to make it clear when the events are in an unusual order.<br><br>### What does it mean that God “lived” among his people?<br><br>The book of Exodus presents God as living in the tabernacle among the nation of Israel. God is everywhere, but he lived among the Israelites in a special way. God dwelled with the Israelites because they belonged to him. He promised to lead them and bless them. In return, the people were to worship him and honor him.
EXO	1	intro	cj55	​	וַ⁠יֵּ֥לֶךְ	0		# Exodus 01 General Notes<br>## Structure and formatting<br><br>This chapter is intended to form a smooth transition with the last chapter of the book of Genesis.<br><br>## Special concepts in this chapter<br><br>### Israel’s growth<br>Israel grew in number. This was in fulfillment of the covenant God made with Abraham. It also caused the Egyptians great concern that there would be more Israelites than Egyptians because they would be unable to defend themselves against such a large number of people. Pharaoh also tried to kill all of the male babies so they would not become soldiers who fought against him. (See: [[rc://en/tw/dict/bible/kt/fulfill]] and [[rc://en/tw/dict/bible/kt/covenant]])<br><br>### End of the famine<br>It is obvious that some time has passed since the beginning of the famine which brought the Israelites into Egypt. Yahweh appears to be punishing the Hebrews for not returning to the Promised Land instead of choosing to stay in Egypt. No return attempt is recorded to have been made. (See: [[rc://en/tw/dict/bible/kt/promisedland]] and [[rc://en/ta/man/translate/figs-explicit]])<br><br>## Other possible translation difficulties in this chapter<br><br>### “All of the descendants of Jacob were 70 in number”<br>This number included both Jacob’s children and grandchildren. It may cause confusion, but it is important to remember Jacob only had 12 sons.
EXO	1	1	851f	​writing-background	​	1		Verses 1–7 are background information for the story. If your language has a way of structuring background information, consider using it for these verses. (See: [[rc://en/ta/man/translate/writing-background]])
EXO	1	1	g89k	figs-metonymy	​וּ⁠בֵית֖⁠וֹ	1	household	Here, **house** refers to all of the people who live together, usually a large family with servants. Alternate translation: “and his household” (See: [[rc://en/ta/man/translate/figs-metonymy]])
EXO	1	1	fxbx	figs-go	הַ⁠בָּאִ֖ים… בָּֽאוּ	1		The words translated as **came in** could also be translated as “went in.” Use whichever form is most natural in your language. (See: [[rc://en/ta/man/translate/figs-go]])
EXO	1	1	e65z	​translate-names	יִשְׂרָאֵ֔ל… יַעֲקֹ֔ב	1		**​Jacob** and **Israel** are two names for the same man. (See: [[rc://en/ta/man/translate/translate-names]])
EXO	1	5	fv84	translate-numbers	​שִׁבְעִ֣ים	1	seventy in number	“70 in number” (See: [[rc://en/ta/man/translate/translate-numbers]])
EXO	1	6	sh42	​grammar-connect-time-sequential	וַ⁠יָּ֤מָת	1		Jacob and his sons spent the rest of their lives in Egypt and died there. (See: [[rc://en/ta/man/translate/grammar-connect-time-sequential]])
EXO	1	6	g5qg	​	וְ⁠כָל־אֶחָ֔י⁠ו	1	all his brothers	**all his brothers** includes ten older brothers and one younger brother. If your language has different words for those, you can say, “his ten older brothers and his younger brother” 
EXO	1	6	8g2k	​figs-possession	אֶחָ֔י⁠ו	1		This an instance of the possessive of social relationship. (See: [[rc://en/ta/man/translate/figs-possession]])
