Book	Chapter	Verse	ID	SupportReference	OrigQuote	Occurrence	GLQuote	OccurrenceNote
LEV	front	intro	nxz4			0		# Introduction to Leviticus\n\n## Part 1: General Introduction\n\n### Outline of Leviticus\n\n1. Instructions to the Israelites about offerings (1:1–6:7)\n    *   Burnt offerings (1:1–17)\n    *   Grain offerings (2:1–16)\n    *   Fellowship offerings (3:1–17)\n    *   Offerings for unintentional sins (4:1-5:13)\n    *   Guilt offerings (5:14–6:7)\n2. Instructions to the priests about offerings (6:8–7:10)\n    *   Burnt offerings (6:8-13)\n    *   Grain offerings (6:14-23)\n    *   Sin offerings (6:24-30)\n    *   Guilt offerings (7:1-10)\n3. Further instructions to the Israelites (7:11–7:38)\n    *   Peace offerings (7:11–21)\n    *   Eating fat and blood forbidden (7:22-27)\n    *   The share for the priests (7:28–7:38)\n4. Setting apart the priests (8:1–10:20)\n    *   Aaron and his sons ordained (8:1–36)\n    *   Aaron as high priest (9:1–24)\n    *   Nadab and Abihu punished (10:1–20)\n5. Laws about clean and unclean things (11:1–15:33)\n    *   Clean and unclean food (11:1–47)\n    *   Women purified after giving birth to a child (12:1–8)\n    *   Skin, clothing, houses (13:1–14:47)\n    *   Bodily fluids (15:1–33)\n6. Day of Atonement; the place of the offering; the nature of blood (16:1–17:16)\n7. Setting apart for worship and service; being disqualified from service (18:1–24:23)\n8. The years of rest and release (25:1–55)\n9. Blessing for obeying and curses for not obeying (26:1–46)\n10. Gifts to God (27:1–34)\n\n### What is the book of Leviticus about?\n\nIn the Book of Leviticus, God continues to give laws through Moses to the people of Israel. The people were to obey all of these laws to honor their covenant with God.\n\n### How should the title of this book be translated?\n\n“Leviticus” means “about the Levites.” The Levites were the tribe of Israel that provided priests and other workers in the tabernacle. If the people in the project language do not understand the term “Levites,” you can call it “The Book about the Priests” or “The Book about the Tabernacle Workers.” (See: [[rc://en/tw/dict/bible/kt/tabernacle]] and [[rc://en/ta/man/translate/translate-names]])\n\n### Who wrote the book of Leviticus?\n\nThe writers of both the Old and New Testament present Moses as being very involved with writing the book of Leviticus. Since ancient times, both Jews and Christians have thought that Moses wrote Genesis, Exodus, Leviticus, Numbers, and Deuteronomy.\n\n### What is the meaning of “holy” and “holiness” in the book of Leviticus?\n\nThese terms concern separating someone or something from the rest of the people, from the world, or from ordinary use. God separated these people or things so they would belong only to him. The people were to consider the places for worshiping God or for honoring him in any way as separate. The people could not use them for anything else. God required the Israelites to live in a certain way in order to live as a nation belonging to him alone.\n\nAnyone or anything that was acceptable to God or “holy” was spoken of as if they were physically clean.\n\nIn the same way, anyone or anything that was not acceptable to God or not holy was spoken of if they were physically unclean.\n\nSome people and some things could be made clean or “cleansed,” that is, acceptable to God. People or things were made clean if the people performed the right sacrifices and ceremonies. For example, some foreigners who wished to live among the Israelites and worship Yahweh could be made clean. However, other people and things could never be made acceptable to him.\n\nIt is important to know that not all unclean things or conditions were sinful. For example, after giving birth to a male child, a woman would be unclean for thirty-three days. Then the proper animal sacrifice would be offered for her. The flow of blood made the woman unclean ([Leviticus 12:7](../../lev/12/07.md)). But Leviticus never suggests that someone with a flow of blood was sinning. In the same way, God did not allow Israelites to eat many kinds of animals, as one way of setting his people apart.\n\nBecause God does not sin, the terms “holy” and “holiness” often suggest this same idea. Something belonging to God is holy. Because people must respect God, they must respect the things that belong to him.\n\n### What are the important narrative features of Leviticus?\n\nOn seventeen occasions, the phrase “The Lord said to Moses” (and sometimes Aaron) is often used to begin paragraphs. God and Moses frequently spoke to others. The verb “speak” is used thirty-eight times.\n\n## Part 2: Important Religious and Cultural Concepts\n\n### Why did the Israelites need so many rules about sacrificing animals?\n\nLeviticus shows that God is holy. That means God is very different from humanity and the rest of the created world. God does not sin. Because of this, it is impossible to be acceptable to him without being “cleansed.” The many kinds of sacrifices were meant to make people and things acceptable to God. However, the people had to continue making animal sacrifices so that they would continue to be acceptable to God. This was a sign that pointed to a need for a better sacrifice. They needed a sacrifice that would cause them to be acceptable to God forever. (See: [[rc://en/tw/dict/bible/kt/holy]] and [[rc://en/tw/dict/bible/kt/sin]])\n\n### Why was the priesthood important in the book of Leviticus?\n\nPriests were individuals who went to God on behalf of the people. God authorized the priests to bring the Israelite’s sacrifices to himself.\n\n### How did the Israelite’s rules for worshiping God and sacrificing animals differ from the other nations at that time?\n\nIt was common for other nations to sacrifice animals to their idols. But, the other nations did other things to worship their false gods. For instance, people would sleep with prostitutes at the temple of their gods. They did this to try to persuade their gods to bless their land with the ability to grow crops. Also, people of other nations would sometimes offer human sacrifices to their gods. The God of Israel did not allow his people to do these kinds of things.\n\n## Part 3: Important Translation Issues\n\n### What important symbols are introduced in Leviticus?\n\nOil was poured on someone or something meant to be set apart for Yahweh. Water was used to symbolize the cleansing of someone or something so God could accept them. Blood was also used to cleanse and purify people and things. This is because blood represented life that needed to be shed in order for God to forgive people for sinning.\n\n### Why do many sections begin with the phrase “Yahweh said to Moses?”\n\nThis phrase shows the reader that these rules come from God and must be obeyed. You could also translate this as “God told Moses.”
LEV	1	intro	ecv8			0		# Leviticus 1 General Notes<br><br>## Structure and formatting<br><br>In Hebrew, this chapter begins with the word “and” indicating a connection with the previous book (Exodus). The first five books of the Bible should be seen as a single unit.<br><br>## Special concepts in this chapter<br><br>### Atonement<br><br>In order to offer a sacrifice for the people, the priest first had to make an atonement for himself, in order to make himself clean. Only then would he be clean and be allowed to perform a sacrifice. These sacrificed animals had to be perfect, the best of all of the animals. A person was not allowed to bring an inferior animal to be sacrificed to Yahweh. These sacrifices also had to be offered in a very specific way. (See: [[rc://en/tw/dict/bible/kt/atonement]] and [[rc://en/tw/dict/bible/kt/priest]] and [[rc://en/tw/dict/bible/kt/clean]])
LEV	1	1	j8us		יְהוָה֙	1	Yahweh	**Yahweh** is the name of God that he revealed to his people in the Old Testament. See the translationWord page about Yahweh concerning how to translate this.
LEV	1	2	yiq7		אָדָ֗ם כִּֽי־ יַקְרִ֥יב מִ⁠כֶּ֛ם	1	When any man from among you	Alternate translation: “When any one of you offers” or “When any of you offers”
LEV	1	3	aps3	figs-123person	קָרְבָּנ⁠וֹ֙…יַקְרִיבֶ֑⁠נּוּ…יַקְרִ֣יב	1	If his offering … he must offer	Here, **“his** and **he** refer to the person bringing an offering to Yahweh. It can be translated in the second person as it is in [Leviticus 1:2](../01/02.md). Alternate translation: “If your offering … you must offer … you must offer” (See: [[rc://en/ta/man/translate/figs-123person]])
LEV	1	3	wp8j	figs-activepassive	לִ⁠רְצֹנ֖⁠וֹ לִ⁠פְנֵ֥י יְהוָֽה	1	so that it may be accepted before Yahweh	If your language does not use the passive form in this way, you can state this in active form or in another way that is natural in your language. Alternate translation: “so that Yahweh will accept it” (See: [[rc://en/ta/man/translate/figs-activepassive]])
LEV	1	4	n7j5	translate-symaction	וְ⁠סָמַ֣ךְ יָד֔⁠וֹ עַ֖ל רֹ֣אשׁ	1	And he is to lay his hand on the head of	This is a symbolic action that identifies the person with the animal he is offering. In this way the person is offering himself through the animal to Yahweh, so that God will forgive the person’s sins when they kill the animal. (See: [[rc://en/ta/man/translate/translate-symaction]])
LEV	1	4	el3u	figs-activepassive	וְ⁠נִרְצָ֥ה ל֖⁠וֹ	1	And it will be accepted on his behalf	If your language does not use the passive form in this way, you can state this in active form or in another way that is natural in your language. Alternate translation: “then Yahweh will accept it in his place and forgive his sins” (See: [[rc://en/ta/man/translate/figs-activepassive]])
LEV	1	5	swj4	figs-123person	וְ⁠שָׁחַ֛ט	1	And he must slaughter	Here, **“he** refers to the one making the offering. It can be stated in second person. Alternate translation: “Then you must kill the bull” (See: [[rc://en/ta/man/translate/figs-123person]])
LEV	1	5	l2u1		לִ⁠פְנֵ֣י יְהוָ֑ה	1	before the face of Yahweh	Alternate translation: “in the presence of Yahweh”
LEV	1	5	qcc2	figs-explicit	וְ֠⁠הִקְרִיבוּ בְּנֵ֨י אַהֲרֹ֤ן הַֽ⁠כֹּֽהֲנִים֙ אֶת־ הַ⁠דָּ֔ם	1	And the sons of Aaron, the priests, will offer the blood	It is implied that **the priests** would catch **the blood** in a bowl as it drained out of the animal. Then they would bring the bowl with the blood in it and present it to Yahweh at the altar. (See: [[rc://en/ta/man/translate/figs-explicit]])
LEV	1	6	i4ll	figs-events	וְ⁠הִפְשִׁ֖יט אֶת־ הָ⁠עֹלָ֑ה וְ⁠נִתַּ֥ח אֹתָ֖⁠הּ לִ⁠נְתָחֶֽי⁠הָ	1	And he must skin the burnt offering and cut it into its pieces	As indicated in 1:9, the person must also wash the inner parts and the legs of the animal with water. The person would do this before giving the pieces to the priests so they could place them on the altar. As in the UST, you can state here the instructions to wash the inner parts and legs. (See: [[rc://en/ta/man/translate/figs-events]])
LEV	1	6	u7di		וְ⁠הִפְשִׁ֖יט	1	And he must skin	Here, **he** refers to the one making the offering.
LEV	1	7	pp4m	figs-events	וְ֠⁠נָתְנוּ בְּנֵ֨י אַהֲרֹ֧ן הַ⁠כֹּהֵ֛ן אֵ֖שׁ עַל־ הַ⁠מִּזְבֵּ֑חַ וְ⁠עָרְכ֥וּ עֵצִ֖ים עַל־ הָ⁠אֵֽשׁ	1	And the sons of Aaron the priest will put fire on the altar and arrange wood on the fire	This may mean that the **Aaron** placed hot coals **on the altar**, then placed the **wood** on the coals. Or you may need to reorder this as in the UST. Alternate translation: “And the sons of Aaron the priest will put wood on the altar and light a fire” (See: [[rc://en/ta/man/translate/figs-events]])
LEV	1	9	b3s6		וְ⁠קִרְבּ֥⁠וֹ וּ⁠כְרָעָ֖י⁠ו יִרְחַ֣ץ בַּ⁠מָּ֑יִם	1	And he must wash with water its inner parts and its legs	The person would do this before giving the pieces to the priests to place on the altar. You can state this at the end of [Leviticus 1:6](../01/06.md).
LEV	1	9	m1s2		וְ⁠קִרְבּ֥⁠וֹ	1	inner parts	Here, **inner parts** refers to the stomach and intestines.
LEV	1	9	ck71		יִרְחַ֣ץ	1	he must wash	Here, **he** refers to the one making the offering.
LEV	1	9	q2ps	figs-activepassive	אִשֵּׁ֥ה	1	an offering made by fire	Yahweh is telling Moses that the offerings are to be burnt with **fire**. If your language does not use the passive form in this way, you can state this in active form or in another way that is natural in your language. Alternate translation: “a burnt offering to me” (See: [[rc://en/ta/man/translate/figs-activepassive]])
LEV	1	9	zgz6	figs-metaphor	רֵֽיחַ־ נִיח֖וֹחַ לַֽ⁠יהוָֽה	1	a sweet aroma to Yahweh	Yahweh being pleased with the sincere worshiper offering the sacrifice is spoken of as if Yahweh were pleased by the **aroma** of the burning sacrifice. (See: [[rc://en/ta/man/translate/figs-metaphor]])
LEV	1	11	k2uc		לִ⁠פְנֵ֣י יְהוָ֑ה	1	before the face of Yahweh	Alternate translation: “in the presence of Yahweh”
LEV	1	12	q6a3	figs-123person	וְ⁠נִתַּ֤ח אֹת⁠וֹ֙	1	And he is to cut it	Here, **he** refers to the person offering the sacrifice. It can be stated in second person. Alternate translation: “And you must cut it” (See: [[rc://en/ta/man/translate/figs-123person]])
LEV	1	12	kx1v		לִ⁠נְתָחָ֔י⁠ו וְ⁠אֶת־ רֹאשׁ֖⁠וֹ וְ⁠אֶת־ פִּדְר֑⁠וֹ…עַל־ הָֽ⁠עֵצִים֙ אֲשֶׁ֣ר עַל־ הָ⁠אֵ֔שׁ אֲשֶׁ֖ר עַל־ הַ⁠מִּזְבֵּֽחַ	1	pieces … head … fat … on the wood that is on the fire that is on the altar	See how you translated these words in [Leviticus 1:7-9](./07.md).
LEV	1	13	ekd2		וְ⁠הַ⁠קֶּ֥רֶב וְ⁠הַ⁠כְּרָעַ֖יִם יִרְחַ֣ץ בַּ⁠מָּ֑יִם…עֹלָ֣ה…אִשֵּׁ֛ה רֵ֥יחַ נִיחֹ֖חַ	1	inner parts … legs he must wash with water … burnt offering … sweet aroma … made … by fire	See how you translated many of these words in [Leviticus 1:9](./09.md).
LEV	1	13	zf3d	figs-metaphor	רֵ֥יחַ נִיחֹ֖חַ לַ⁠יהוָֽה	1	a sweet aroma to Yahweh	Yahweh being pleased with the sincere worshiper who offered the sacrifice is spoken of as if God were pleased with the **aroma** of the burning sacrifice. See how you translated this in [Leviticus 1:9](../01/09.md). (See: [[rc://en/ta/man/translate/figs-metaphor]])
LEV	1	13	tij4	figs-activepassive	אִשֵּׁ֛ה	1	an offering made by fire	Yahweh tells Moses that the priests must burn their offerings with **fire**. If your language does not use the passive form in this way, you can state this in active form or in another way that is natural in your language. Alternate translation: “a burnt offering” (See: [[rc://en/ta/man/translate/figs-activepassive]])
LEV	1	15	hs4d		וּ⁠מָלַק֙ אֶת־ רֹאשׁ֔⁠וֹ	1	and wring off its head	Alternate translation: “and twist off its head”
LEV	1	15	sur7	figs-activepassive	וְ⁠נִמְצָ֣ה דָמ֔⁠וֹ	1	And its blood must be drained out	If your language does not use the passive form in this way, you can state this in active form or in another way that is natural in your language. Alternate translation: “Then the priest must drain its blood” (See: [[rc://en/ta/man/translate/figs-activepassive]])
LEV	1	16	x2cz		וְ⁠הֵסִ֥יר	1	And he must remove	Alternate translation: “And the priest must remove”
LEV	1	16	zqs8		אֶת־ מֻרְאָת֖⁠וֹ	1	its crop	A **crop** is a pouch in the bird’s throat where pre-digested food is stored.
LEV	1	16	x63v		אֶת־ מֻרְאָת֖⁠וֹ בְּ⁠נֹצָתָ֑⁠הּ	1	throw it beside the altar	Here **it** refers to the **crop** and the **plumage**.
LEV	1	17	y4aw	figs-metaphor	רֵ֥יחַ נִיחֹ֖חַ לַ⁠יהוָֽה	1	a sweet aroma to Yahweh	Yahweh being pleased with the sincere worshiper who offered the sacrifice is spoken of as if God were pleased with the **aroma** of the burning sacrifice. See how you translated this in [Leviticus 1:9](../01/09.md). (See: [[rc://en/ta/man/translate/figs-metaphor]])
LEV	1	17	y2p1	figs-activepassive	עֹלָ֣ה ה֗וּא אִשֵּׁ֛ה	1	It is a burnt offering, an offering made by fire	If your language does not use the passive form in this way, you can state this in active form or in another way that is natural in your language. Alternate translation: “It will be a burnt offering to me” or “It will be a burnt offering to Yahweh” (See: [[rc://en/ta/man/translate/figs-activepassive]])
LEV	2	intro	t6wy			0		# Leviticus 2 General Notes<br><br>## Structure and formatting<br><br>This chapter gives instructions about how to make a grain offering.<br><br>## Special concepts in this chapter<br><br>### Yeast<br><br>Yeast is connected to the events of the Passover. Any prohibition of yeast may be connected to the original Passover. (See: [[rc://en/tw/dict/bible/kt/passover]])
LEV	2	1	jj1g			0	General Information:	Yahweh continues telling Moses what the people must do.
LEV	2	1	tf2u		סֹ֖לֶת	1	fine flour	Here, **flour** refers to a powder made from wheat. Alternate translation: “the finest flour” or “the best flour”
LEV	2	2	v2q7		וְ⁠קָמַ֨ץ מִ⁠שָּׁ֜ם מְלֹ֣א קֻמְצ֗⁠וֹ	1	and take out from it his handful	A **handful** is the amount that a person can hold in the palm of their hand. Alternate translation: “and take out what he can hold in his hand”
LEV	2	2	e7ss		אֶת־ אַזְכָּרָתָ⁠הּ֙	1	its memorial portion	The **memorial portion** of the grain offering represents the whole grain offering. This means the whole offering belongs to Yahweh.
LEV	2	2	bh7g	figs-metaphor	רֵ֥יחַ נִיחֹ֖חַ לַ⁠יהוָֽה	1	a sweet aroma to Yahweh	**Yahweh** being pleased with the sincere worshiper who offered the sacrifice is spoken of as if God were pleased with the **aroma** of the sacrifice. See how you translated this in [Leviticus 1:9](../01/09.md). (See: [[rc://en/ta/man/translate/figs-metaphor]])
LEV	2	4	bmg7	figs-activepassive	מַאֲפֵ֣ה תַנּ֑וּר	1	that is baked in an oven	If your language does not use the passive form in this way, you can state this in active form or in another way that is natural in your language. Alternate translation: “that you baked in an oven” (See: [[rc://en/ta/man/translate/figs-activepassive]])
LEV	2	4	rvs7	translate-unknown	תַנּ֑וּר	1	oven	This **oven** was probably a hollow object made of clay. A fire was lit under the oven, and the heat would bake the dough inside of the oven. (See: [[rc://en/ta/man/translate/translate-unknown]])
LEV	2	4	lrk7	figs-ellipsis	סֹ֣לֶת	1	soft bread of fine flour	It is understood that the soft bread contained no yeast. (See: [[rc://en/ta/man/translate/figs-ellipsis]])
LEV	2	4	ae7y	figs-explicit	מְשֻׁחִ֥ים בַּ⁠שָּֽׁמֶן	1	spread with oil	Translate this phrase to indicate that the **oil** is to be spread onto the bread. Alternate translation: “with oil on the bread” (See: [[rc://en/ta/man/translate/figs-explicit]])
LEV	2	5	t6jn	figs-activepassive	וְ⁠אִם־ מִנְחָ֥ה עַל־ הַֽ⁠מַּחֲבַ֖ת קָרְבָּנֶ֑⁠ךָ	1	And if your offering is a grain offering made on the griddle	If your language does not use the passive form in this way, you can state this in active form or in another way that is natural in your language. Alternate translation: “If you bake your grain offering in a flat iron pan” (See: [[rc://en/ta/man/translate/figs-activepassive]])
LEV	2	5	qg9n	translate-unknown	הַֽ⁠מַּחֲבַ֖ת	1	the griddle	This **griddle** was a thick plate made of either clay or metal. The plate was placed over a fire, and the dough cooked on top of the plate. (See: [[rc://en/ta/man/translate/translate-unknown]])
LEV	2	6	bq8a		פָּת֤וֹת אֹתָ⁠הּ֙	1	You are to divide it	Here **it** refers to the grain offering cooked on a griddle.
LEV	2	7	b7fj	figs-activepassive	וְ⁠אִם־ מִנְחַ֥ת מַרְחֶ֖שֶׁת קָרְבָּנֶ֑⁠ךָ	1	And if your offering is a grain offering cooked in a pan	If your language does not use the passive form in this way, you can state this in active form or in another way that is natural in your language. Alternate translation: “If you cook your grain offering” (See: [[rc://en/ta/man/translate/figs-activepassive]])
LEV	2	7	l1pm	translate-unknown	מַרְחֶ֖שֶׁת	1	in a pan	A **pan** is a metal plate with rounded edges. The dough was placed in the pan and cooked over a fire. (See: [[rc://en/ta/man/translate/translate-unknown]])
LEV	2	7	s232	figs-activepassive	תֵּעָשֶֽׂה	1	it must be made	If your language does not use the passive form in this way, you can state this in active form or in another way that is natural in your language. Alternate translation: “you must make it” (See: [[rc://en/ta/man/translate/figs-activepassive]])
LEV	2	8	vy42	figs-activepassive	אֲשֶׁ֧ר יֵעָשֶׂ֛ה מֵ⁠אֵ֖לֶּה	1	that is made from these things	If your language does not use the passive form in this way, you can state this in active form or in another way that is natural in your language. Alternate translation: “that you made from the flour and oil” (See: [[rc://en/ta/man/translate/figs-activepassive]])
LEV	2	8	j9l1	figs-activepassive	וְ⁠הִקְרִיבָ⁠הּ֙	1	And it will be presented	If your language does not use the passive form in this way, you can state this in active form or in another way that is natural in your language. Alternate translation: “And you will present it” (See: [[rc://en/ta/man/translate/figs-activepassive]])
LEV	2	9	t1ms		וְ⁠הֵרִ֨ים הַ⁠כֹּהֵ֤ן מִן־ הַ⁠מִּנְחָה֙ אֶת־ אַזְכָּ֣רָתָ֔⁠הּ וְ⁠הִקְטִ֖יר הַ⁠מִּזְבֵּ֑חָ⁠ה אִשֵּׁ֛ה רֵ֥יחַ נִיחֹ֖חַ	1	And the priest will take from the grain offering its memorial portion, and he will burn it on the altar. It is an offering made by fire, a sweet aroma	See how you translated many of these words in [Leviticus 2:2](./02.md).
LEV	2	9	qgm4		אֶת־ אַזְכָּ֣רָתָ֔⁠הּ	1	its memorial offering	The handful of the grain is a **memorial offering** that represents the whole grain offering. This means the whole offering belongs to Yahweh. See how you translated this in [Leviticus 2:2](../02/02.md).
LEV	2	9	a7ye	figs-metaphor	רֵ֥יחַ נִיחֹ֖חַ לַ⁠יהוָֽה	1	a sweet aroma to Yahweh	**Yahweh** being pleased with the sincere worshiper who offered the sacrifice is spoken of as if God were pleased with the **aroma** of the burning sacrifice. See how you translated this in [Leviticus 1:9](../01/09.md). (See: [[rc://en/ta/man/translate/figs-metaphor]])
LEV	2	10	c6hv		מֵ⁠אִשֵּׁ֥י יְהוָֽה	1	from the offerings made by fire to Yahweh	See how you translated this in [Leviticus 2:3](./03.md).
LEV	2	10	y8u4	figs-activepassive	מֵ⁠אִשֵּׁ֥י יְהוָֽה	1	from the offerings made by fire to Yahweh	If your language does not use the passive form in this way, you can state this in active form or in another way that is natural in your language. Alternate translation: “from the burnt offerings to Yahweh” (See: [[rc://en/ta/man/translate/figs-activepassive]])
LEV	2	11	r3y3	figs-activepassive	כָּל־ הַ⁠מִּנְחָ֗ה אֲשֶׁ֤ר תַּקְרִ֨יבוּ֙ לַ⁠יהוָ֔ה לֹ֥א תֵעָשֶׂ֖ה חָמֵ֑ץ	1	Every grain offering that you offer to Yahweh must not be made with yeast	If your language does not use the passive form in this way, you can state this in active form or in another way that is natural in your language. Alternate translation: “Do not use yeast in a grain offering that you offer to Yahweh” (See: [[rc://en/ta/man/translate/figs-activepassive]])
LEV	2	12	b9d5		תַּקְרִ֥יבוּ אֹתָ֖⁠ם	1	You will offer them	Alternate translation: “You will offer the grain offerings made with leaven or honey”
LEV	2	13	hl5q	figs-explicit	מֶ֚לַח בְּרִ֣ית אֱלֹהֶ֔י⁠ךָ	1	the salt of the covenant of your God	It is implied that **the salt** is a symbol that represents **the covenant** with **God**. (See: [[rc://en/ta/man/translate/figs-explicit]])
LEV	2	14	hq1w	figs-activepassive	אָבִ֞יב קָל֤וּי בָּ⁠אֵשׁ֙	1	that is fresh grain roasted with fire	If your language does not use the passive form in this way, you can state this in active form or in another way that is natural in your language. Alternate translation: “of new grain that you have cooked over a fire” (See: [[rc://en/ta/man/translate/figs-activepassive]])
