Book	Chapter	Verse	ID	SupportReference	OrigQuote	Occurrence	GLQuote	OccurrenceNote
OBA	front	intro	jrz8			0		# Introduction to Obadiah<br><br>## Part 1: General Introduction<br><br>### Outline of the Book of Obadiah<br><br>1. Yahweh will judge Edom (1:1-16) A. Yahweh will destroy Edom (1:1–9) B. Why Yahweh will destroy Edom (1:10–14)<br>2. Yahweh will judge the nations (1:15–16)<br>3. Yahweh will deliver his people (1:17–21)<br><br>### What is the Book of Obadiah about?<br><br>After the nation of Babylon destroyed Jerusalem, the Edomites (from the neighboring land of Edom) captured fleeing Jews. Then they gave these Jews over to Babylon. The Book of Obadiah is about Yahweh judging the Edomites for harming his people. This book would be comforting to the people of Judah who had been captured and forced to live in Babylon.<br><br>### How should the title of this book be translated?<br><br>This book is traditionally titled “The Book of Obadiah” or just “Obadiah.” Translators may decide to use a clearer title such as “The Sayings of Obadiah.” (See: [[rc://en/ta/man/translate/translate-names]])<br><br>### Who wrote the Book of Obadiah?<br><br>The prophet Obadiah probably wrote this book. We know nothing more about Obadiah. His name in Hebrew means “Servant of Yahweh.”<br><br>## Part 2: Important Religious and Cultural Concepts<br><br>### What was Edom’s relationship to Israel?<br><br>Obadiah referred to Edom as Israel’s brother. This is because the Edomites descended from Esau, and the Israelites descended from Jacob. Jacob and Esau were twin brothers. This made Edom’s betrayal of Israel much worse. The notes also refer to the Israelites as the people of Judah. Judah was the part of Israel that had survived the earlier destruction by the nation of Assyria and that was later captured by the nation of Babylon when the nation of Edom did not help them.<br><br>## Part 3: Important Translation Issues<br><br>### How do I translate the concept of “pride?”<br><br>The Book of Obadiah speaks of the pride of Edom. This meant that the Edomites thought that neither their enemies nor Yahweh could defeat them. (See: [[rc://en/tw/dict/bible/other/proud]])<br><br>### When Obadiah is addressing Edom, should I use a singular or plural form of “you?”<br><br>Since Obadiah addressed the people of Edom figuratively by referring to them as the nation of Edom, he used a singular form in the original language. But if you are using more plain language and want your translation to be clear that it is addressing the people of Edom, you can use a plural form.
OBA	1	1	xm1w	figs-metaphor	חֲז֖וֹן עֹֽבַדְיָ֑ה	1	The vision of Obadiah	This is the title of the book. Here **vision** is used in the general sense of a message from Yahweh, rather than to indicate how Obadiah received that message. **Vision** here is a metaphor for the way that God gives knowledge to people. Alternate translation: “The message that God gave to Obadiah” or “The prophecy of Obadiah” (See: [[rc://en/ta/man/translate/figs-metaphor]])
OBA	1	1	jdr1	translate-names	עֹֽבַדְיָ֑ה	1	Obadiah	Some English translations call the prophet Abdias, but Obadiah is the form of his name most commonly used in English. Use the form of the name that is used in your source language or a form that is similar that sounds like a name in your language. (See: [[rc://en/ta/man/translate/translate-names]])
OBA	1	1	sv9x	writing-quotations	כֹּֽה־אָמַר֩ אֲדֹנָ֨⁠י יְהוִ֜ה	1	thus says my Lord Yahweh concerning Edom	This introduces the rest of the book as a message from God. Use a form here that is natural in your language for introducing what someone says. (See: [[rc://en/ta/man/translate/writing-quotations]])
OBA	1	1	s7if	translate-names	יְהוִ֜ה	1	Yahweh	This is the name of God that he revealed to his people in the Old Testament. (See: [[rc://en/ta/man/translate/translate-names]])
OBA	1	1	jdr3	figs-metonymy	לֶ⁠אֱד֗וֹם	1	concerning Edom	People are being described here by the name of something closely associated with them, **Edom**, the land that they live in. If this is not clear in your language, you can say clearly that this message is about the people. Alternate translation: “concerning the people of Edom.” (See: [[rc://en/ta/man/translate/figs-metonymy]])
OBA	1	1	jdr5	figs-exclusive	שָׁמַ֜עְנוּ	1	We have heard a report	Obadiah is speaking as one person among the many in the nations around Edom who have heard Yahweh’s message, including the people of Israel. If your language has an inclusive form for **We**, use that here. (See: [[rc://en/ta/man/translate/figs-exclusive]])
OBA	1	1	c8w8	figs-exclusive	שָׁמַ֜עְנוּ	1		Obadiah is speaking to the people of Judah about the people of Edom. So **We** here is inclusive; others in Judah have also heard or are now hearing the message calling the nations to war against Edom. (See: [[rc://en/ta/man/translate/figs-exclusive]])
OBA	1	1	jdr7	figs-activepassive	וְ⁠צִיר֙…שֻׁלָּ֔ח	1	and a messenger has been sent off	If it is more natural in your language, you can use the active form of the verb. Alternate translation: “I, Yahweh, have sent a messenger” (See: [[rc://en/ta/man/translate/figs-activepassive]])
OBA	1	1	r27r	figs-explicit	וְ⁠צִיר֙…שֻׁלָּ֔ח	1	and a messenger has been sent off	You could specify who sent the messenger. Alternate translation: “and Yahweh has sent a messenger” (See: [[rc://en/ta/man/translate/figs-explicit]])
OBA	1	1	jdr9	figs-quotations	ק֛וּמוּ וְ⁠נָק֥וּמָה עָלֶי⁠הָ לַ⁠מִּלְחָמָֽה	1	Get up! And let us rise up against her for battle!	The end of the verse is not spoken by Obadiah himself. Rather, these are the words of Yahweh’s messenger. They can be presented as a quotation with an introductory formula such as “saying,” or as indirect quotation as in UST. (See: [[rc://en/ta/man/translate/figs-quotations]])
OBA	1	1	pez6	figs-idiom	ק֛וּמוּ	1	Get up	This phrase is used to tell people to get ready, in this case to attack Edom. Alternate translation: “Get ready” (See: [[rc://en/ta/man/translate/figs-idiom]])
OBA	1	1	iaok	figs-idiom	וְ⁠נָק֥וּמָה עָלֶי⁠הָ	1		This is an idiom that means to violently oppose another person or nation. Alternate translation: “Let us gather our armies against Edom” (See: [[rc://en/ta/man/translate/figs-idiom]])
OBA	1	1	c9e2	figs-metonymy	וְ⁠נָק֥וּמָה עָלֶי⁠הָ	1	and let us rise up against her	Here, **her** refers to the land of Edom, which, again, stands for the people of Edom. Alternate translation: “Let us rise up against the people of Edom” (See: [[rc://en/ta/man/translate/figs-metonymy]])
OBA	1	1	jd1r	figs-abstractnouns	לַ⁠מִּלְחָמָֽה	1	for battle	If your readers would misunderstand this, If your language does not use an abstract noun for the idea behind the word **battle**, you could express the same idea with a verbal form. Alternate translation: “to attack her” (See: [[rc://en/ta/man/translate/figs-abstractnouns]])
OBA	1	2	cc3h	writing-quotations	הִנֵּ֥ה קָטֹ֛ן נְתַתִּ֖י⁠ךָ	1	Behold, I am making you small	The addressee changes here. This is no longer Yahweh speaking to Judah or the messenger speaking to the other nations. Now Yahweh is speaking directly to the people of Edom. If your readers would misunderstand this, you could add a quote introduction here, as in the UST. (See: [[rc://en/ta/man/translate/writing-quotations]])
OBA	1	2	npn6		הִנֵּ֥ה	1	Behold	This alerts the people of Edom to pay special attention to what follows. Use a natural way of getting someone’s attention in your language. Alternate translation: “Look” or “Pay attention to what I am about to tell you”
OBA	1	2	l6dc	figs-parallelism	קָטֹ֛ן נְתַתִּ֖י⁠ךָ בַּ⁠גּוֹיִ֑ם בָּז֥וּי אַתָּ֖ה מְאֹֽד	1	I am making you small among the nations, you are extremely despised	These two phrases mean similar things and are used together to emphasize that Edom will lose its important status. If it would be more natural in your language, you could combine them as in the UST. (See: [[rc://en/ta/man/translate/figs-parallelism]])
OBA	1	2	ec8m	figs-metaphor	קָטֹ֛ן נְתַתִּ֖י⁠ךָ בַּ⁠גּוֹיִ֑ם	1	small among the nations	Something insignificant is spoken of figuratively as if it were small in size and could easily be overlooked. Alternate translation: “insignificant among the nations” (See: [[rc://en/ta/man/translate/figs-metaphor]])
OBA	1	2	ch1u	figs-activepassive	בָּז֥וּי אַתָּ֖ה מְאֹֽד	1	you are extremely despised	You could state this in the active form. Alternate translation: “the people of other nations will hate you” (See: [[rc://en/ta/man/translate/figs-activepassive]])
OBA	1	3	kjbt	figs-personification	זְד֤וֹן לִבְּ⁠ךָ֙ הִשִּׁיאֶ֔⁠ךָ	1		Here, **pride** is spoken of figuratively as though it were a person who could deceive someone. If this is not clear, you could say this with plain language. Alternate translation: “Because you are so proud, you have deceived yourselves” (See: [[rc://en/ta/man/translate/figs-personification]])
OBA	1	3	hzdk	figs-youcrowd	זְד֤וֹן לִבְּ⁠ךָ֙ הִשִּׁיאֶ֔⁠ךָ	1		Here, **you** is singular, since it refers to the people of Edom as a single nation, but if this is confusing in your language, you can use a plural form of “you” here and throughout this book. (See: [[rc://en/ta/man/translate/figs-youcrowd]])
OBA	1	3	kcc3	figs-abstractnouns	זְד֤וֹן לִבְּ⁠ךָ֙	1		If your language does not use an abstract noun for the idea behind the word **pride**, you could express the same idea with an adjective such as “proud.” Alternate translation: “Your proud attitude” (See: [[rc://en/ta/man/translate/figs-abstractnouns]])
OBA	1	3	qpw7	figs-metaphor	זְד֤וֹן לִבְּ⁠ךָ֙	1	of your heart	Here, **heart** is used figuratively to refer to a person’s thoughts and feelings. Alternate translation: “Your proud attitude” (See: [[rc://en/ta/man/translate/figs-metaphor]])
OBA	1	3	k9sw	figs-123person	שֹׁכְנִ֥י בְ⁠חַגְוֵי־סֶּ֖לַע	1	lofty in his dwelling	Here, the pronoun switches from **you** to **he** even though Yahweh is still talking to the people of Edom. If this is confusing in your language, you can continue to use **you**, since this is part of Yahweh’s continuing message to the people of Edom. Alternate translation: “you who live in the clefts of the rock” (See: [[rc://en/ta/man/translate/figs-123person]])
OBA	1	3	q6sz		בְ⁠חַגְוֵי־סֶּ֖לַע	1	in the clefts of the rock	This means a place that is protected because it is surrounded by rocks.
OBA	1	3	r5zj	figs-123person	אֹמֵ֣ר בְּ⁠לִבּ֔⁠וֹ	1	he who says in his heart	This says **he** and **his,** as if Yahweh were talking aloud about Edom rather than to Edom, but it can be translated with **you** as part of Yahweh’s continuing words to the people. Alternate translation: “you who say in your heart” or “you who say to yourselves” (See: [[rc://en/ta/man/translate/figs-123person]])
