Book	Chapter	Verse	ID	SupportReference	OrigQuote	Occurrence	GLQuote	OccurrenceNote
MAT	front	intro	sa9c			0		# Introduction to the Gospel of Matthew<br><br>## Part 1: General Introduction<br><br>### Outline of the book of Matthew<br><br>1. The birth of Jesus Christ and the beginning of his ministry (1:1-4:25)<br>1. Jesus’ Sermon on the Mount (5:1-7:28)<br>1. Jesus illustrates the kingdom of God through acts of healing (8:1-9:34)<br>1. Jesus teaches about mission and the kingdom (9:35-10:42)<br>1. Jesus teaches about the gospel of the kingdom of God. Opposition to Jesus begins. (11:1-12:50)<br>1. Jesus tells parables about the kingdom of God (13:1-52)<br>1. Further opposition to Jesus and misunderstanding of the kingdom of God (13:53-17:57)<br>1. Jesus teaches about life in the kingdom of God (18:1-35)<br>1. Jesus ministers in Judea (19:1-22:46)<br>1. Jesus teaches about the final judgment and salvation (23:1-25:46)<br>1. The crucifixion of Jesus, his death and resurrection (26:1-28:19)<br><br>### What is the book of Matthew about?<br><br>The Gospel of Matthew is one of four books in the New Testament that describe some of the life of Jesus Christ. The authors of the Gospels wrote about different aspects of who Jesus was and what he did. Matthew showed that Jesus was the Messiah, and God would save Israel through him. Matthew often explained that Jesus fulfilled the Old Testament prophecies about the Messiah. This may indicate that he expected most of his first readers to be Jewish. (See: [[rc://en/tw/dict/bible/kt/christ]])<br><br>### How should the title of this book be translated?<br><br>Translators may choose to call this book by its traditional title, “The Gospel of Matthew,” or “The Gospel according to Matthew.” Or they may choose a title that may be clearer, such as, “The Good News about Jesus that Matthew wrote.” (See: [[rc://en/ta/man/translate/translate-names]])<br><br>### Who wrote the book of Matthew?<br><br>The book does not give the name of the author. However, since early Christian times, most Christians have thought that the author was the Apostle Matthew.<br><br>## Part 2: Important Religious and Cultural Concepts<br><br>### What is the “kingdom of heaven?”<br><br>Matthew spoke of the "kingdom of heaven" in the same way that other Gospel writers spoke of the kingdom of God. The kingdom of heaven represents God ruling over all people and all creation everywhere. Those whom God accepts into his kingdom will be blessed. They will live with God forever.<br><br>### What were the teaching methods of Jesus?<br><br>The people regarded Jesus as a rabbi. A rabbi is a teacher of God’s law. Jesus taught in ways similar those of other religious teachers in Israel. He had students who followed him wherever he went. These students were called disciples. He often told parables. Parables are stories that teach moral lessons. (See: [[rc://en/tw/dict/bible/kt/lawofmoses]] and [[rc://en/tw/dict/bible/kt/disciple]] and [[rc://en/tw/dict/bible/kt/parable]])<br><br>## Part 3: Important Translation Issues<br><br>### What are the Synoptic Gospels?<br><br>The Gospels of Matthew, Mark, and Luke are called the Synoptic Gospels because they have many similar passages. The word “synoptic” means to “see together.”<br><br>The texts are considered “parallel” when they are the same or almost the same among two or three gospels. When translating parallel passages, translators should use the same wording and make them as similar as possible.<br><br>### Why does Jesus refer to himself as the “Son of Man”?<br><br>In the gospels, Jesus calls himself the “Son of Man.” It is a reference to Daniel 7:13-14. In that passage there is a person described as a “son of man.” That means the person was someone who looked like a human being. God gave authority to the son of man to rule over the nations forever. All the people will worship him forever.<br><br>Jews of Jesus’ time did not use “Son of Man” as a title for anyone. Therefore, Jesus used it for himself to help them understand who he truly was. (See: [[rc://en/tw/dict/bible/kt/sonofman]])<br><br>Translating the title “Son of Man” can be difficult in many languages. Readers may misunderstand a literal translation. Translators can consider alternatives, such as “The Human One.” It may also be helpful to include a footnote to explain the title.<br><br>### What are the major issues in the text of the book of Matthew?<br><br>The following verses are found in older versions of the Bible but are not included in most modern versions:<br>* “Bless those who curse you; do good to those who hate you” (5:44)<br>* “For yours is the kingdom and the power and the glory forever. Amen” (6:13)<br>* “But this kind of demon does not go out except with prayer and fasting” (17:21)<br>* “For the Son of Man came to save that which was lost” (18:11)<br>* “Many are called, but few are chosen” (20:16)<br>* “Woe to you, scribes and Pharisees, hypocrites! for you devour widows’ houses, while you make a show of long prayers. You will therefore receive greater condemnation.” (23:14)<br><br>Translators are advised not to include these passages. However, if in the translators’ region, there are older versions of the Bible that include one or more of these passages, the translators may include them. If they are included, they should be put inside square brackets ([]) to indicate that they were probably not original to Matthew’s Gospel. (See: [[rc://en/ta/man/translate/translate-textvariants]])
MAT	1	intro	y7kk			0		# Matthew 1 General Notes<br><br>## Structure and Formatting<br><br>### Indentation<br><br>Some translations set a quotation from the Old Testament farther to the right on the page than the rest of the text. The ULT does this for the quoted material in 1:23.<br><br>### Genealogy<br><br>A genealogy is a list that records a person’s ancestors or descendants. Genealogies were important to the Jewish people because family lineage is how they decided how someone functioned in society. For instance, if someone was a descendant of Aaron, they were able to become priests. Similarly, if someone was a descendant of King David, they were able to become a king. This genealogy shows that Jesus was clearly a descendant of King David, and therefore, was able to become king.<br><br>## Important Figures of Speech in this Chapter<br><br>### Use of the passive voice<br><br>Matthew uses the passive voice very purposefully in this chapter to indicate that Mary did not have a sexual relationship with anyone. She became pregnant with Jesus because the Holy Spirit performed a miracle. Many languages do not have a passive voice, so translators in those languages must find other ways to present the same truths. (See: [[rc://en/ta/man/translate/figs-activepassive]])
MAT	1	1	vpg1	figs-metaphor	Ἰησοῦ Χριστοῦ, υἱοῦ Δαυεὶδ, υἱοῦ Ἀβραάμ	1	of Jesus Christ, son of David, son of Abraham	Here, **son** means “descendant.” If your readers would not understand what it means, you could use an equivalent metaphor from your culture. Alternatively, you could express the meaning in a nonfigurative way. Alternate translation: “of Jesus Christ, descendant of King David, who was a descendent of Abraham” (See: [[rc://en/ta/man/translate/figs-metaphor]])
MAT	1	3	g8y6	translate-names		0	of Perez … Zerah … of Hezron … of Ram	Unless stated otherwise, all of the names in this genealogy are men’s names. (See: [[rc://en/ta/man/translate/translate-names]])
MAT	1	5	q5bd	translate-names	Ῥαχάβ…Ῥούθ	1	Boaz became the father of Obed by Ruth	**Rahab** and **Ruth** are the names of women. (See: [[rc://en/ta/man/translate/translate-names]])
MAT	1	11	v2im		Βαβυλῶνος	1	to Babylon	Here, **Babylonian** refers to the country of Babylonia, not just the city of Babylon.
MAT	1	12	y7cx		μετὰ…τὴν μετοικεσίαν Βαβυλῶνος	1	after the deportation to Babylon	Use the same wording you used in [1:11](../01/11.md) for **Babylonian**.
MAT	1	16	b3bm	figs-activepassive	Μαρίας, ἐξ ἧς ἐγεννήθη Ἰησοῦς	1	of Mary, by whom Jesus was born	If your language does not use this passive form, you can state this in active form. Alternate translation: “Mary, who gave birth to Jesus” (See: [[rc://en/ta/man/translate/figs-activepassive]])
MAT	1	16	wdbo	translate-names	Μαρίας	1		**Mary** is the name of a woman. (See: [[rc://en/ta/man/translate/translate-names]])
MAT	1	16	z2rg	figs-activepassive	ὁ λεγόμενος Χριστός	1	who is called Christ	If your language does not use this passive form, you can state this in active form. Alternate translation: “whom people called Christ” (See: [[rc://en/ta/man/translate/figs-activepassive]])
