Book	Chapter	Verse	ID	SupportReference	OrigQuote	Occurrence	GLQuote	OccurrenceNote
JHN	front	intro	t6za			0		# Introduction to the Gospel of John<br><br>## Part 1: General Introduction<br><br>### Outline of the Gospel of John<br><br>1. Introduction about who Jesus is (1:1–18)<br>2. Jesus is baptized, and he chooses twelve disciples (1:19–51)<br>3. Jesus preaches, teaches, and heals people (2–11)<br>4. The seven days before Jesus’ death (12–19)<br>    *   Mary anoints the feet of Jesus (12:1–11)<br>    *   Jesus rides a donkey into Jerusalem (12:12–19)<br>    *   Some Greek men want to see Jesus (12:20–36)<br>    *   The Jewish leaders reject Jesus (12:37–50)<br>    *   Jesus teaches his disciples (13–17)<br>    *   Jesus is arrested and undergoes trial (18:1–19:15)<br>    *   Jesus is crucified and buried (19:16–42)<br>5. Jesus rises from the dead (20:1–29)<br>6. John says why he wrote his gospel (20:30–31)<br>7. Jesus meets with the disciples (21)<br><br>### What is the Gospel of John about?<br><br>The Gospel of John is one of four books in the New Testament that describe some of the life and teachings of Jesus Christ. These books are called “Gospels,” which means “good news.” Their authors wrote about different aspects of who Jesus was and what he did. John said that he wrote his Gospel “so that people might believe that Jesus is the Christ, the Son of the living God” (20:31). John’s Gospel repeatedly emphasizes that Jesus is God in human form.<br><br>John’s Gospel is very different from the other three Gospels. John does not include some of the teachings and events that the other writers included in their Gospels. Also, John wrote about some teachings and events that are not in the other Gospels.<br><br>John wrote much about the miraculous signs Jesus did to prove that what Jesus said about himself was true. (See: [[rc://en/tw/dict/bible/kt/sign]])<br><br>### How should the title of this book be translated?<br><br>Translators may choose to call this book by its traditional title, “The Gospel of John” or “The Gospel According to John.” Or they may choose a title that may be clearer, such as, “The Good News About Jesus That John Wrote.” (See: [[rc://en/ta/man/translate/translate-names]])<br><br>### Who wrote the Gospel of John?<br><br>This book does not give the name of the author. However, since early Christian times, most Christians have thought that the Apostle John was the author. Further evidence that the Apostle John wrote this Gospel is the fact that his name does not occur once within it. Instead, this Gospel contains the phrase “the disciple whom Jesus loved” in places where the other Gospels indicate that John was involved. The Apostle John most likely referred to himself in this manner because he wanted to humbly testify to his close relationship with Jesus as part of Jesus’ inner circle of disciples who became the “pillars” of the early church (Galatians 2:9).<br><br>## Part 2: Important Religious and Cultural Concepts<br><br>### Why does John write so much about the final week of Jesus’ life?<br><br>John wrote much about Jesus’ final week. He wanted his readers to think deeply about Jesus’ final week and his death on the cross. He wanted people to understand that Jesus willingly died on the cross so that God could forgive them for sinning against him. (See: [[rc://en/tw/dict/bible/kt/sin]])<br><br>## Part 3: Important Translation Issues<br><br>### What do the words “remain,” “reside,” and “abide” mean in the Gospel of John?<br><br>John often used the words “remain,” “reside”, and “abide” as metaphors. John spoke of a believer becoming more faithful to Jesus and knowing Jesus better as if Jesus’ word “remained” in the believer. John also spoke of someone being spiritually joined to someone else as if the person “remained” in the other person. Christians are said to “remain” in Christ and in God. The Father is said to “remain” in the Son, and the Son is said to “remain” in the Father. The Son is said to “remain” in believers. The Holy Spirit is also said to “remain” in the believers.<br><br>Many translators will find it impossible to represent these ideas in their languages in exactly the same way. For example, Jesus intended to express the idea of the Christian being spiritually together with him when he said, “He who eats my flesh and drinks my blood remains in me, and I in him” (John 6:56). The UST uses the idea of “will be joined to me, and I will be joined to him.” But translators may have to find other ways of expressing the idea.<br><br>In the passage, “If my words remain in you” (John 15:7), the UST expresses this idea as, “If you live by my message.” Translators may find it possible to use this translation as a model.<br><br>### What are the major issues in the text of the Gospel of John?<br><br>The following verses found in older versions of the Bible but are not included in most modern versions. Translators are advised not to translate these verses. However, if in the translators’ region, there are older versions of the Bible that include these verses, the translators can include them. If they are translated, they should be put inside square brackets (\[\]) to indicate that they were probably not original to John’s Gospel.<br><br>*   “waiting for the moving of the water. For an angel of the Lord occasionally went down into the pool and stirred the water and whoever went first after the stirring of the water, was made well from the disease they had.” (5:3-4)<br>*   “going through the midst of them, and so passed by” (8:59)<br><br>The following passage is included in most older and modern versions of the Bible. But it is not in the earliest copies of the Bible. Translators are advised to translate this passage. It should be put inside of square brackets (\[\]) to indicate that it may not have been original to John’s Gospel.<br><br>*   The story of the adulterous woman (7:53-8:11)<br><br>(See: [[rc://en/ta/man/translate/translate-textvariants]])
JHN	1	intro	k29b			0		# John 1 General Notes<br><br>## Structure and formatting<br><br>Some translations set each line of poetry farther to the right than the rest of the text to make it easier to read. The ULT does this with the poetry in [1:23](../01/23.md), which are words from the Old Testament.<br><br>## Special concepts in this chapter<br><br>### “The Word”<br><br>John uses the phrase “the Word” to refer to Jesus ([1:1, 14](../01/01.md)). John is saying that God’s most important message to all people is actually Jesus, a person with a physical body. (See: [[rc://en/tw/dict/bible/kt/wordofgod]])<br><br>### Light and Darkness<br><br>The Bible often speaks of unrighteous people, people who do not do what pleases God, as if they were walking around in darkness. It speaks of light as if it were what enables those sinful people to become righteous, to understand what they are doing wrong and begin to obey God. In [1:4–9](../01/04.md), John uses an extended metaphor in which light represents what is true and good and darkness represents what is false and evil. John applies that light metaphor to Jesus in order to show that Jesus is the embodiment of God’s truth and goodness. (See: [[rc://en/tw/dict/bible/kt/righteous]])<br><br>### “Children of God”<br><br>People are sometimes described as “children of God” because God created them. However, John uses this expression in a different sense in this chapter. He uses it to describe people who have entered into a father-child relationship with God by putting their faith and trust in Jesus. God indeed created all people, but people can only become children of God in this sense by believing in Jesus. "Children" in this usage does not refer to those who are young, but only to the relationship that people have at any age to their father. (See: [[rc://en/tw/dict/bible/kt/believe]])<br><br>## Important figures of speech in this chapter<br><br>### Metaphors<br><br>John uses the metaphors of light and darkness and of “the Word” to tell the reader that he will be writing more about good and evil and about what God wants to tell people through Jesus. (See: [[rc://en/ta/man/translate/figs-metaphor]])<br><br>## Other possible translation difficulties in this chapter<br><br>### “In the beginning”<br><br>Some languages and cultures speak of the world as if it has always existed, as if it had no beginning. But “very long ago” is different from “in the beginning,” and you need to be sure that your translation communicates correctly.<br><br>### “Son of Man”<br><br>Jesus refers to himself as the “Son of Man” in this chapter ([1:51](../01/51.md)). Your language may not allow people to speak of themselves as if they were speaking about someone else. (See: [[rc://en/tw/dict/bible/kt/sonofman]] and [[rc://en/ta/man/translate/figs-123person]])
JHN	1	1	er9g		ἐν ἀρχῇ ἦν	1	In the beginning	This phrase refers to the very earliest time before God created the heavens and the earth. It does not refer to time in the distant past. Alternate translation: “Before the beginning of the universe there was” or “Before the universe began there was”
JHN	1	1	z59q	figs-explicit	ὁ λόγος, καὶ ὁ λόγος…καὶ Θεὸς ἦν ὁ λόγος	1	the Word	Here, **the Word** refers to Jesus. It does not refer to a spoken word. ULT indicates this by capitalizing **Word** to indicate that this is a title for Jesus. Use whatever convention your language uses to indicate that this is a name. If “word” is feminine in your language, it could be translated as “the one who is called the Word.” Alternate translation: “Jesus, who is the Word, and Jesus … and Jesus was God” (See: [[rc://en/ta/man/translate/figs-explicit]])
JHN	1	2	u6xx	writing-pronouns	οὗτος	1		**He** here refers to Jesus, whom John has called “the Word” in the previous verse. If it would be clearer in your language, you could say this explicitly. Alternate translation: “Jesus” or “the Word” (See: [[rc://en/ta/man/translate/writing-pronouns]])
JHN	1	2	k8cf		ἐν ἀρχῇ	1		Here, this phrase refers to the very earliest time before God created the heavens and the earth. See how you translated this phrase in verse [1](../01/01.md). Alternate translation: “before the beginning of the universe” or “before the universe began”
JHN	1	3	gm5g	figs-activepassive	πάντα δι’ αὐτοῦ ἐγένετο	1	All things were made through him	If it would be clearer in your language, you can translate this with an active verb and say who did the action. Alternate translation: “God made all things through him” (See: [[rc://en/ta/man/translate/figs-activepassive]])
JHN	1	3	t1lj	writing-pronouns	αὐτοῦ	1		Here, **him** refers to Jesus, the one who is called “the Word.” If it would be clearer in your language, you could say this explicitly. Alternate translation: “Jesus” or “the Word” (See: [[rc://en/ta/man/translate/writing-pronouns]])
JHN	1	3	aqs1	figs-doublenegatives	χωρὶς αὐτοῦ ἐγένετο οὐδὲ ἕν ὃ γέγονεν	1	without him there was not one thing made that has been made	If your language does not permit double negatives, these words should communicate that the opposite of “all things were made through him” is false. Alternate translation: “with him came into being everything that came into being” (See: [[rc://en/ta/man/translate/figs-doublenegatives]])
JHN	1	3	v4yk	figs-activepassive	χωρὶς αὐτοῦ ἐγένετο οὐδὲ ἕν ὃ γέγονεν	1		If it would be clearer in your language, you can translate this with an active verb and say who did the action. Alternate translation: “God did not make one thing without him” or “God made with him everything that God has made” (See: [[rc://en/ta/man/translate/figs-activepassive]])
