Book	Chapter	Verse	ID	SupportReference	OrigQuote	Occurrence	GLQuote	OccurrenceNote
ACT	front	intro	mw28			0		# Introduction to Acts<br><br>## Part 1: General Introduction<br><br>### Outline of the book of Acts<br><br>1. The apostles spread the good news about Jesus in Jerusalem (1:1–6:7)<br>2. The church expands into Judea and Samaria (6:8–9:31)<br>3. The church expands to include Gentiles (9:32–12:24)<br>4. Paul goes to Asia Minor as an apostle to the Gentiles (12:25–16:5)<br>5. The church expands into the middle Mediterranean area (16:6–19:20)<br>6. Paul reaches Rome, but as a prisoner and after several trials (19:21–28:31)<br><br>Luke makes transitional statements at 6:7, 9:31, 12:24, 16:5, and 19:20 to mark the movement from each major part of the book to the next part.<br><br>### What is the book of Acts about?<br><br>The book of Acts tells the story of the early church. It relates how more and more people, from different backgrounds and in different parts of the Roman Empire, became believers in Jesus. It shows the power of the Holy Spirit helping the early Christians. The events in this book begin with the return of Jesus to heaven and they end about 30 years later.<br><br>### How should the title of this book be translated?<br><br>Translators may choose to call this book by its traditional title, “The Acts of the Apostles.” Or translators may choose a different title, for example, “The Acts of the Holy Spirit through the Apostles.”<br><br>### Who wrote the book of Acts?<br><br>The author of this book does not give his own name. However, the book is dedicated to Theophilus, the same person to whom Luke dedicated his story of the life of Jesus, the Gospel of Luke. Also, in parts of this book, the author uses the word “we.” This indicates that the author traveled with Paul. Most scholars think that Luke was this person who traveled with Paul. Therefore, since early Christian times, most Christians have thought that Luke was the author of the book of Acts as well as the Gospel of Luke.<br><br>Luke was a medical doctor. His way of writing shows that he was an educated man. He was probably a Gentile. He personally witnessed many of the events that he describes in the book of Acts.<br><br>## Part 2: Important Religious and Cultural Concepts<br><br>### What is the church?<br><br>The church is the community of people who believe in Jesus as their Lord and Savior. The church includes both Jewish and Gentile believers. The book of Acts shows God helping the church. It shows God doing signs and wonders to confirm the church’s testimony to Jesus, leading many people to have faith in Jesus, guiding the church about where and how to share the good news, and enabling believers to resolve conflicts and endure persecution.<br><br>### The kingdom of God<br><br>The “kingdom of God” is a major concept in the book of Acts, as it is in the Gospel of Luke. This concept is very rich in meaning. It includes the idea of eternal life in the presence of God, but it also includes the idea of what the earth will be like in the future when God rules everything, and the idea of life on earth right now, when and where God’s wishes are carried out fully. The unifying concept behind all of these ideas is that of God ruling and of people embracing God’s rule over their lives. Wherever the expression “the kingdom of God” occurs, translation notes will suggest communicating the idea behind the abstract noun “kingdom” with some phrase that uses the verb “rule.” UST models this approach consistently. (See: [[rc://en/ta/man/translate/figs-abstractnouns]])<br><br>## Part 3: Important Translation Issues<br><br>### Figurative usages in the book of Acts<br><br>“arise/arising”<br><br>Luke often says “arise” or “arising” to mean taking action to get an enterprise under way, rather than to mean getting up from a sitting or lying position. Notes will indicate where this figurative usage occurs.“brothers”<br><br>Luke often uses the term **brothers** to mean people who share the same faith. Although this term is masculine, Luke uses the word in a generic sense that includes both men and women. If you decide to retain this figurative usage in your translation, you could say “brothers and sisters” to indicate that the word has this generic sense. (See: [[rc://en/ta/man/translate/figs-gendernotations]])### Possible translation difficulties in the book of Acts<br><br>“to the same” <br><br>The phrase “to the same” occurs five times in this book (1:15, 2:1, 2:44, 2:47, 4:26). It is not entirely clear what this phrase means. In the first three instances it could mean “in the same place,” but it could also mean “in one accord,” that is, “in full agreement.” In 2:47 it seems to mean “to their group.” Paul uses the same phrase in 1 Corinthians 11:20 and 14:23, where it could mean “in the same place” or it could have the sense of full agreement and mean something like “in Christian fellowship.” That sense would fit Acts 2:47, where the phrase could be translated “to their Christian fellowship.” In 4:26 it could mean “to the same place,” but it could also mean “by agreement.” Notes will discuss the different possibilities in each case where the phrase could mean more than one thing.<br><br>“in/to/into the temple”<br><br>Luke uses this phrase many times in this book, but it does not refer to the temple building itself. Only priests were allowed to enter that building, so the phrase refers to the courtyard or area around the temple. The phrase “in the porch that is called Solomon’s” in 3:11 makes it clear that Peter and John and the crowd that gathered on the occasion that chapter describes were not inside the temple building. Notes will address this phrase to explain its meaning each time it occurs in the book.<br><br><br><br>### What are the major issues in the text of the book of Acts?<br><br>The following are the most significant textual issues in Acts. Notes will address them where they occur in the book.<br><br>First, there are some verses that are found in traditional versions of the Bible, but they are not found in the most accurate ancient manuscripts of the Bible. Some modern versions put these verses in square brackets [ ]. The ULT and UST also put them in brackets. If a translation of the Bible already exists in your area, you could consider including these verses if that translation does. If there is not already a Bible translation in your area, we recommend that you indicate in some way that these verses may not be original. You could put them in brackets, for example, or in footnotes. These verses are:<br>- Acts 8:37, “Philip said, ‘If you believe with all your heart, you may be baptized.’ The Ethiopian answered, ‘I believe that Jesus Christ is the Son of God.’”<br>- Acts 15:34, “But it seemed good to Silas to remain there.”<br>- Acts 24:6-8, “And we wanted to judge him according to our law. But Lysias, the officer, came and forcibly took him out of our hands, sending him to you.”<br>- Acts 28:29, “When he had said these things, the Jews departed, having a great dispute among themselves.”<br><br>Second, in some verses, it is uncertain what the original text said. The ULT uses the first readings listed below, but it includes the second readings in footnotes. If a translation of the Bible already exists in your area, you could consider following the same reading that it does. If there is not already a Bible translation in your area, we recommend that you follow the same reading that ULT does. These verses are:<br>- Acts 3:22, “the Lord our God.” Some versions read “the Lord your God,” and other versions read “the Lord God.”<br>- Acts 7:46, “a dwelling for the house of Jacob.” Some versions read “for the God of Jacob.”<br>- Acts 10:19, “three men. Some versions read “two men” or “some men.”<br>- Acts 10:30, ““Four days ago, at this hour, I was praying at the ninth {hour} in my house.” Some versions read, “From the fourth day until this hour, I was fasting, and at the ninth hour I was praying in my house.”<br>- Acts 12:25, “They returned from Jerusalem.” Some versions read, “They returned to Jerusalem” (or “to there”).<br>- Acts 13:18, “he put up with them.” Some versions read, “he cared for them.”<br>- Acts 15:17-18, “This is what the Lord says, who has done these things that have been known from ancient times.” Some older versions read, “This is what the Lord says, to whom are known all his deeds from ancient times.”<br><br>(See: [[rc://en/ta/man/translate/translate-textvariants]])
ACT	1	intro	vyg9			0		# Acts 1 General Notes\n\n## Structure and Formatting\n\nThe UST has set the words “Dear Theophilus” apart from the other words. This is because English speakers often start letters this way. You may want to start this book in the way that people start letters in your culture.\n\nSome translations set quotations from the Old Testament farther to the right on the page than the rest of the text. The ULT does this with the two quotations from the book of Psalms in 1:20.\n\n## Special Concepts in this Chapter\n\n### The Ascension\n\nThis chapter records an event that is commonly known as the “Ascension.” That word describes how Jesus returned to heaven after he became alive again. In the future he will come back to earth again, and his return to earth is known as his “Second Coming.” (See: [[rc://en/tw/dict/bible/kt/heaven]] and [[rc://en/tw/dict/bible/kt/resurrection]])\n\n### Baptism\n\nLuke uses the word “baptize” with two different meanings in [1:5](../01/05.md). In the first instance, it refers literally to the water baptism of John. In the second instance, it refers to people being filled with the Holy Spirit. Luke uses the term “filled” to mean this same thing in [2:4](../02/04.md). (See: [[rc://en/tw/dict/bible/kt/baptize]])\n\n### “He spoke things concerning the kingdom of God”\n\nSome scholars believe that when Jesus spoke “things concerning the kingdom of God,” as Luke describes in [1:3](../01/03.md), he explained to the disciples why the kingdom of God had not come while he was on earth the first time. Other scholars believe that the kingdom of God did begin while Jesus was on earth and that Jesus explained that it had come in a form different from the one the disciples had expected. Since Christians hold different views about the kingdom of God coming, translators should be careful to avoid letting how they understand that issue affect how they translate this verse.\n\n## Possible Translation Difficulties in this Chapter\n\n### Long sentence\n\nAs was common in compositions of this time, for stylistic purposes Luke begins this book with a very long sentence. It goes from the beginning of [1:1](../01/01.md) to the end of [1:3](../01/03.md). ULT represents all of this as a single sentence. It may be helpful to your readers to divide it into several sentences, as UST does.\n\n### The details of the death of Judas\n\nThere are some differences in detail between the way Luke describes the death of Judas in the book of Acts and the way Matthew describes it in his gospel. Luke says that Judas used the money he got for betraying Jesus to buy a field; Matthew says that Judas returned the money to the Jewish leaders and that they bought the field with it. Luke says that Judas killed himself by falling onto the field from a height; Matthew says that Judas hanged himself. Luke says that the field was named the “Field of Blood” because Judas died a bloody death there; Matthew says the field was given that name because it was purchased with “blood money,” that is, money paid to ensure someone’s death.\n\nIt is possible to reconcile many of these details. For example, the body of Judas may have fallen and split open on the field if he fell when he tried to hang himself. Luke may say that Judas bought the field because the Jewish leaders would not take back the money that they had paid him, and so in a sense it was still his money when the field was purchased with it.\n\nBut it would probably be best to avoid trying to reconcile these details within your translation. For example, when Luke says in [1:18](../01/18.md) that Judas fell onto the field, instead of saying that he fell when he was trying to hang himself, you can let Luke and Matthew each tell the story the way they do. Then you can leave it up to preachers and teachers of the Bible to explain how their accounts are compatible.\n\n### The 12 disciples\n\nThere is one small difference between the list of the 12 disciples that Matthew and Mark provide in their gospels and the list that Luke provides in his gospel and in the book of Acts.\n\nAll three writers list Simon Peter and his brother Andrew; James and John, the two sons of Zebedee; Philip, Bartholomew, Thomas, Matthew, James the son of Alphaeus, Simon the Zealot, and Judas Iscariot. But Matthew and Mark say that the twelfth disciple was Thaddeus, while Luke says he was Judas the son of James. However, it is quite likely that Thaddeus was another name by which this other Judas was known.\n\nOnce again it is not necessary to try to reconcile these details within your translation. Specifically, in [1:13](../01/13.md) instead of saying, “Judas the son of James, who was also known as Thaddeus,” you can let each of the biblical writers tell the story in the way that they do. Then you can leave it up to preachers and teachers of the Bible to explain how their accounts are compatible.
ACT	1	1	q9ep	figs-explicit	τὸν μὲν πρῶτον λόγον ἐποιησάμην	1	I made the first account	Luke assumes that Theophilus will know that by **the first account** he means the book that has become known as the Gospel of Luke. Since that book was not known by that title at this time, it would not be accurate to put the title in your translation as a name that Luke would have used to describe the book to Theophilus. However, you could explain this in a footnote and use another expression here. Alternate translation: “I wrote in my first volume” (See: [[rc://en/ta/man/translate/figs-explicit]])
ACT	1	1	a000		ὦ Θεόφιλε	1	O Theophilus	Here Luke is identifying and addressing the man for whom he complied this account of the early church. Since this is like the salutation of a letter, in your translation you may wish to follow your culture’s way of identifying and greeting the addressee of a letter. UST models this by saying “Dear Theophilus” and putting the phrase at the beginning of the sentence.
ACT	1	1	ryj5	translate-names	Θεόφιλε	1	Theophilus	**Theophilus** is the name of a man. It means “friend of God.” It may be his actual name, or it may describe what this man was like. Most translations treat it as his name. (See: [[rc://en/ta/man/translate/translate-names]])
ACT	1	1	a001	figs-explicitinfo	περὶ πάντων…ὧν ἤρξατο ὁ Ἰησοῦς ποιεῖν τε καὶ διδάσκειν	1	all that Jesus began both to do and to teach	Luke is using the word **began** to indicate that Jesus had been doing something else (working as a carpenter) but then began to do something new when he started his ministry. In your language, it might not be necessary to translate the word **began**, since it might seem to convey redundant information that would be not be natural to express. Alternate translation: “all that Jesus both did and taught” (See: [[rc://en/ta/man/translate/figs-explicitinfo]])
ACT	1	1	a002	figs-hyperbole	περὶ πάντων…ὧν ἤρξατο ὁ Ἰησοῦς ποιεῖν τε καὶ διδάσκειν	1	all that Jesus began both to do and to teach	This is a generalization for emphasis. Alternate translation: “about some of the most important things that Jesus did and taught” (See: [[rc://en/ta/man/translate/figs-hyperbole]])
ACT	1	2	a003	figs-idiom	ἄχρι ἧς ἡμέρας	1	until that day when	While this did happen on a specific day, Luke is likely using the word **day** to mean a specific time. Alternate translation: “up to the time when” (See: [[rc://en/ta/man/translate/figs-idiom]])
ACT	1	2	n435	figs-activepassive	ἀνελήμφθη	1	he was taken up	If it would be helpful in your language, you could say this with an active form. Alternate translation: “God took him up” (See: [[rc://en/ta/man/translate/figs-activepassive]])
ACT	1	2	a424	figs-explicit	ἀνελήμφθη	1	he was taken up	Luke is referring to Jesus being **taken up** into heaven. See the discussion of “Ascension” in the General Notes to this chapter. Alternate translation: “he was taken up into heaven” or “God took him up into heaven” (See: [[rc://en/ta/man/translate/figs-explicit]])
ACT	1	3	a004		οἷς καὶ παρέστησεν ἑαυτὸν ζῶντα, μετὰ τὸ παθεῖν αὐτὸν, ἐν πολλοῖς τεκμηρίοις	1	to whom also, after he had suffered, he presented himself living with many proofs	As the General Notes to this chapter suggest, it be helpful to begin a new sentence here. Alternate translation: “Jesus also presented himself alive with many proofs to his apostles after he had suffered”
ACT	1	3	dup3	figs-explicit	μετὰ τὸ παθεῖν αὐτὸν	1	after he had suffered	This refers to how Jesus suffered and died on the cross. Alternate translation: “after he had suffered and died on the cross” (See: [[rc://en/ta/man/translate/figs-explicit]])
ACT	1	3	a005	figs-explicit	ἐν πολλοῖς τεκμηρίοις	1	with many proofs	The word translated **proofs** describes items of evidence that are decisive and convincing. Alternate translation: “with many definitive proofs” (See: [[rc://en/ta/man/translate/figs-explicit]])
ACT	1	3	yc16	figs-explicit	δι’ ἡμερῶν τεσσεράκοντα, ὀπτανόμενος αὐτοῖς, καὶ λέγων	1	appearing to them for 40 days and speaking	While the antecedent of **whom** is “the apostles whom he had chosen” in the previous verse, Jesus actually appeared to many other disciples besides his apostles. If it would be helpful to your readers, you could indicate that explicitly. It may be helpful to begin a new sentence here. Alternate translation: “For 40 days he appeared to his apostles and many of his other disciples, and he spoke” (See: [[rc://en/ta/man/translate/figs-explicit]])
ACT	1	3	a006	figs-abstractnouns	τὰ περὶ τῆς Βασιλείας τοῦ Θεοῦ	1	things concerning the kingdom of God	See the discussion of the concept of the **kingdom of God** in Part 2 of the General Introduction to Acts. If your language does not use an abstract noun for the idea behind the word **kingdom**, you could express this with a verb such as “rule,” as UST does. (See: [[rc://en/ta/man/translate/figs-abstractnouns]])
ACT	1	4	a007	figs-doublenegatives	ἀπὸ Ἱεροσολύμων, μὴ χωρίζεσθαι, ἀλλὰ	1	not to depart from Jerusalem, but	If it would be helpful in your language, you could use a positive expression to translate this double negative that consists of the negative particle **not** and the negative verb **depart**. Alternate translation: “to remain in Jerusalem and” (See: [[rc://en/ta/man/translate/figs-doublenegatives]])
ACT	1	4	vb7g	figs-quotemarks	ἀπὸ Ἱεροσολύμων, μὴ χωρίζεσθαι	1	not to depart from Jerusalem	The content of Jesus’ instructions to the apostles on this occasion begins here. If it would be helpful to your readers, you could translate and punctuate the material from here to the end of the verse as a direct quotation, as UST does. (See: [[rc://en/ta/man/translate/figs-quotemarks]])
ACT	1	4	a008	translate-names	Ἱεροσολύμων	1	Jerusalem	**Jerusalem** is the name of a city. (See: [[rc://en/ta/man/translate/translate-names]])
ACT	1	4	sg4h	figs-metonymy	τὴν ἐπαγγελίαν τοῦ Πατρὸς	1	the promise of the Father	Jesus is referring to the Holy Spirit by association with the way God made a **promise** to send the Holy Spirit. Alternate translation: “the Holy Spirit, whom the Father promised” (See: [[rc://en/ta/man/translate/figs-metonymy]])
ACT	1	4	a009	guidelines-sonofgodprinciples	τοῦ Πατρὸς	1	of the Father	**Father** is an important title for God. Alternate translation: “of God the Father” (See: [[rc://en/ta/man/translate/guidelines-sonofgodprinciples]])
ACT	1	4	tj6r	figs-quotations	ἣν ἠκούσατέ μου	1	which you heard from me	In keeping with his engaging storytelling style, Luke begins a quotation from Jesus here without introducing it with a formula such as “he said.” If it would be helpful to your readers, you could include an introductory formula in your translation. It may be helpful to begin a new sentence here. Alternate translation: “He said, ‘You heard about this from me’” or “He said, ‘I told you about this’” (See: [[rc://en/ta/man/translate/figs-quotations]])
ACT	1	4	d3kr	figs-you	ἠκούσατέ	1	you heard	Here, **you** is plural because Jesus is speaking to the apostles, so use the plural form of “you” in your translation if your language marks that distinction. In [1:6](../01/06.md), “you” is singular because Jesus alone is being addressed, so the singular form would be accurate there. In general these notes will not discuss whether **you** is singular or plural when this should be clear from the context, but they will address ambiguous cases where this may not be clear. (See: [[rc://en/ta/man/translate/figs-you]])
ACT	1	5	uu4k	translate-names	Ἰωάννης	1	John	**John** is the name of a man. (See: [[rc://en/ta/man/translate/translate-names]])
ACT	1	5	fnq5	figs-explicit	Ἰωάννης	1	John	Jesus is referring to the man who was known as John the Baptist because he baptized people. It may help to identify him if you use that title after his name in your translation. However, because the word “Baptist” is associated with a group of churches in many parts of the world, it may be helpful to your readers to use a different form of the word as a title, as UST does by saying “Baptizer.” Alternate translation: “John the Baptist” or “John the Baptizer” (See: [[rc://en/ta/man/translate/figs-explicit]])
ACT	1	5	a075	figs-metaphor	ὑμεῖς…ἐν Πνεύματι βαπτισθήσεσθε Ἁγίῳ	1	you will be baptized in the Holy Spirit	After describing earlier in the verse how John baptized people literally, Jesus is using baptism in this second instance as a metaphor. See the discussion in the General Notes to this chapter. Alternate translation: “the Holy Spirit will come and empower you” (See: [[rc://en/ta/man/translate/figs-metaphor]])
ACT	1	5	dzj1	figs-activepassive	ὑμεῖς…βαπτισθήσεσθε	1	you will be baptized	You may wish to retain the metaphor of baptism in your translation. If you do, and If it would be helpful in your language, you could say this with an active form, and you can say who will do the action. Alternate translation: “God will baptize” (See: [[rc://en/ta/man/translate/figs-activepassive]])
