Book	Chapter	Verse	ID	SupportReference	OrigQuote	Occurrence	GLQuote	OccurrenceNote
PHM	front	intro	sz2w			0		# Introduction to Philemon<br><br>## Part 1: General Introduction<br><br>### Outline of the Book of Philemon<br><br>1. Paul greets Philemon (1:1-3)<br>2. Paul makes requests of Philemon about Onesimus (1:4-21)<br>3. Conclusion (1:22-25)<br><br>### Who wrote the Book of Philemon?<br><br>Paul wrote Philemon. Paul was from the city of Tarsus. He had been known as Saul in his early life. Before becoming a Christian, Saul was a Pharisee. He persecuted Christians. After he became a Christian, he traveled several times throughout the Roman Empire telling people about Jesus.<br><br>Paul was in a prison when he wrote this letter.<br><br>### What is the Book of Philemon about?<br><br>Paul wrote this letter to a man named Philemon. Philemon was a believer in Jesus who lived in the city of Colossae. He owned a slave named Onesimus. Onesimus had run away from Philemon and possibly stole something from him as well. Onesimus went to Rome and visited Paul in prison there, where Paul brought Onesimus to Jesus.<br><br>Paul told Philemon that he was sending Onesimus back to him. Philemon had the right to execute Onesimus according to Roman law. But Paul said that Philemon should accept Onesimus back as a Christian brother. He even suggested that Philemon should allow Onesimus to come back to Paul and help him in prison.<br><br>### How should the title of this book be translated?<br><br>Translators may choose to call this book by its traditional title, “Philemon.” Or they may choose a clearer title, such as “Paul’s Letter to Philemon” or “The Letter Paul wrote to Philemon.” (See: [[rc://en/ta/man/translate/translate-names]])<br><br>## Part 2: Important Religious and Cultural Concepts<br><br>### Does this letter approve the practice of slavery?<br><br>Paul sent Onesimus back to his former master. But that did not mean that Paul thought that slavery was an acceptable practice. Instead, Paul was more concerned with people being reconciled to each other and that they serve God in whatever situation they were in. It is important to note that in the culture of the time, people became slaves for various reasons and it was not considered a permanent state.<br><br>### What does Paul mean by the expression “in Christ,” “in the Lord,” etc.?<br><br>Paul meant to express the idea of a very close union with Christ and the believers. See the introduction to the Book of Romans for more details about this kind of expression.<br><br>## Part 3: Important Translation Issues<br><br>### Singular and plural “you”<br><br>In this book, the word “I” refers to Paul. The word “you” is almost always singular and refers to Philemon. The two exceptions to this are 1:22 and 1:25. There “you” refers to Philemon and the believers that met at his house. (See: [[rc://en/ta/man/translate/figs-exclusive]] and [[rc://en/ta/man/translate/figs-you]])<br><br>Three times Paul identifies himself as the author of this letter (in verses 1, 9, and 19). Evidently Timothy was with him and may have written down the words as Paul said them. All instances of “I,” “me,” and “my” refer to Paul. Philemon is the main person to whom this letter is written. All instances of “you” and “your” refer to him and are singular unless otherwise noted. (See: [[rc://en/ta/man/translate/figs-you]])
PHM	1	1	ne8k	figs-123person	Παῦλος	1		Your language may have a particular way of introducing the author of a letter. Use that here. Alternate translations: “From me, Paul” or “I, Paul” (See: rc://en/ta/man/translate/figs-123person)
PHM	1	1	cgs4		δέσμιος Χριστοῦ Ἰησοῦ	1	a prisoner of Christ Jesus	Paul was in prison because people in authority did not want him to preach about Jesus. They put him there in order to stop him and to punish him. This does not mean that Jesus had put Paul in prison. Alternate translation: “a prisoner for the sake of Christ Jesus”
PHM	1	1	sv3p		ὁ ἀδελφὸς	1	our brother	Paul is using the term **brother** figuratively to mean someone who shares the same faith. Alternate translation: “our fellow Christian” or “our companion in the faith” (See: rc://en/ta/man/translate/figs-metaphor)
PHM	1	1	y9zu	figs-exclusive	ὁ ἀδελφὸς	1		Here, the word **our** is not in the original, but was necessary for English, which requires that a relationship word indicate who the person is related to. In this case, **our** would be inclusive, relating Timothy to Paul and the readers as a brother in Christ. If your language requires this, you can do the same. If not, you can follow the original wording, which says, “the brother.” (See: [[rc://en/ta/man/translate/figs-exclusive]])
PHM	1	1	gvmy	translate-names	Φιλήμονι	1		This is the name of a man. (See: [[rc://en/ta/man/translate/translate-names]])
PHM	1	1	q84z	figs-explicit	Φιλήμονι	1		If it would be more natural in your language, you can include the information that this is a letter in which Paul is speaking directly to Philemon, as in the UST. (See: [[rc://en/ta/man/translate/figs-explicit]])
PHM	1	1	r3l9	figs-exclusive	ἡμῶν	1	our	The word **our** here refers to Paul and those with him, but not to the reader. (See: [[rc://en/ta/man/translate/figs-exclusive]])
PHM	1	1	ww3l		καὶ συνεργῷ ἡμῶν	1	and our fellow worker	If your readers would misunderstand this phrase, you could state more specifically how Philemon worked with Paul. Alternate translation: “who, like us, works to spread the gospel” or “who works as we do to serve Jesus”
PHM	1	2	b37l	translate-names	Ἀπφίᾳ	1		This is the name of a woman. (See: [[rc://en/ta/man/translate/translate-names]])
PHM	1	2	bb1s	figs-exclusive	τῇ ἀδελφῇ	1		Here, the word **our** is not in the original, but was necessary for English, which requires that a relationship word indicate who the person is related to. In this case, **our** would be inclusive, relating Apphia to Paul and the readers as a sister in Christ. If your language requires this, you can do the same. If not, you can do the same as the original, which says, “the sister.” (See: [[rc://en/ta/man/translate/figs-exclusive]])
PHM	1	2	hhpc	figs-metaphor	τῇ ἀδελφῇ	1		Paul is using the term **sister** figuratively to mean a woman who shares the same faith. Alternate translation: “our fellow Christian” or “our spiritual sister” (See: rc://en/ta/man/translate/figs-metaphor)
PHM	1	2	e8su	figs-exclusive	ἡμῶν	1	our	The word **our** here refers to Paul and those with him, but not to the reader. (See: [[rc://en/ta/man/translate/figs-exclusive]])
PHM	1	2	kyzo		Ἀπφίᾳ…Ἀρχίππῳ…τῇ…ἐκκλησίᾳ	1		The letter is predominantly addressed to Philemon. It could be misleading to suggest Paul is writing to **Apphia**, **Archippus**, and **the church** in Philemon’s house, on the same level as he is writing to Philemon.
PHM	1	2	sq44	translate-names	Ἀρχίππῳ	1	Archippus	This is the name of a man in the church with Philemon. (See: [[rc://en/ta/man/translate/translate-names]])
PHM	1	2	mnn5	figs-metaphor	τῷ συνστρατιώτῃ ἡμῶν	1	our fellow soldier	Paul speaks here of Archippus as if he and Archippus were both soldiers in an army. He means that Archippus works hard, as Paul himself works hard, to spread the gospel. Alternate translation: “our fellow spiritual warrior” or “who also fights the spiritual battle with us” (See: [[rc://en/ta/man/translate/figs-metaphor]])
PHM	1	2	uof9		καὶ τῇ κατ’ οἶκόν σου ἐκκλησίᾳ	1		Apphia and Archippus were probably also members of the church that met at Philemon’s house. If mentioning them separately would imply that they were not part of the church, you could include a word like “other.” Alternate translation: “to the other members of the church in your house”
PHM	1	3	r4nq	translate-blessing	χάρις ὑμῖν καὶ εἰρήνη, ἀπὸ Θεοῦ Πατρὸς ἡμῶν καὶ Κυρίου ἡμῶν Ἰησοῦ Χριστοῦ	1	Grace to you and peace from God our Father and our Lord Jesus Christ	After introducing the senders and recipients of the letter, Paul gives a blessing. Use a form that people would recognize as a blessing in your language. Alternate translation: “May God our Father and the Lord Jesus Christ give you grace and peace.” (See: [[rc://en/ta/man/translate/translate-blessing]])
PHM	1	3	iv7e	figs-abstractnouns	χάρις ὑμῖν καὶ εἰρήνη, ἀπὸ Θεοῦ Πατρὸς ἡμῶν καὶ Κυρίου ἡμῶν Ἰησοῦ Χριστοῦ.	1		If your readers would misunderstand the abstract nouns **grace** and **peace**, you could express the idea behind them with adjectives such as “gracious” and “peaceful.” Alternate translation: “May God our Father and our Lord Jesus Christ be gracious to you and make you peaceful” (See: [[rc://en/ta/man/translate/figs-abstractnouns]])
PHM	1	3	e5z8	figs-exclusive	ἡμῶν…ἡμῶν	1	our	The word **our** here is inclusive, referring to Paul, those with him, and the reader. (See: [[rc://en/ta/man/translate/figs-exclusive]])
PHM	1	3	qglx	figs-yousingular	ὑμῖν	1		Here, **you** is plural, referring to all of the recipients named in verses 1–2. (See: [[rc://en/ta/man/translate/figs-yousingular]])
PHM	1	3	lh8a	guidelines-sonofgodprinciples	Πατρὸς	1	Father	This is an important title for God. (See: [[rc://en/ta/man/translate/guidelines-sonofgodprinciples]])
PHM	1	4	puh8	figs-yousingular	σου	1		Here, the word **you** is singular and refers to Philemon. (See: [[rc://en/ta/man/translate/figs-yousingular]])
PHM	1	5	l3i2	figs-abstractnouns	ἀκούων σου τὴν ἀγάπην καὶ τὴν πίστιν, ἣν ἔχεις πρὸς τὸν Κύριον Ἰησοῦν, καὶ εἰς πάντας τοὺς ἁγίους	1	figs-abstractnouns	If your readers would misunderstand the abstract nouns **love** and **faith**, you could express the ideas behind them with verbs instead. Alternate translation: “hearing how much you love and believe in the Lord Jesus and all the saints” (See: [[rc://en/ta/man/translate/figs-abstractnouns]])
PHM	1	5	ojcu	writing-poetry	ἀκούων σου τὴν ἀγάπην καὶ τὴν πίστιν, ἣν ἔχεις πρὸς τὸν Κύριον Ἰησοῦν, καὶ εἰς πάντας τοὺς ἁγίους	1	writing-poetry	Paul is using a poetic structure here in which the first and last parts relate and the second and third parts relate. Therefore, the meaning is: “hearing of the faith that you have in the Lord Jesus and of your love for all the saints.”Paul said exactly that in Colossians 1:4 without the poetic structure. (See: [[rc://en/ta/man/translate/writing-poetry]])
PHM	1	5	pf1y	figs-yousingular	σου…ἔχεις	1		Here, the words **your** and **you** are singular and refer to Philemon. (See: [[rc://en/ta/man/translate/figs-yousingular]])
PHM	1	6	mfrp	figs-explicit	ὅπως	1		Here, **that** introduces the content of the prayer that Paul mentions in verse 4. If your readers would misunderstand this connection, you can repeat the idea of prayer here. Alternate translation: “I pray that” (See: [[rc://en/ta/man/translate/figs-explicit]])
PHM	1	6	t54l	figs-abstractnouns	ἡ κοινωνία τῆς πίστεώς σου	1	the fellowship of your faith	The word translated **fellowship** means a sharing or a partnership in something. Paul probably intends both meanings, but if you must choose, it could mean: (1) that Philemon shares the same faith in Christ as Paul and others. Alternate translation: “the faith that you share with us” (2) that Philemon is a partner with Paul and others in working for Christ. Alternate translation: “your working together with us as believers” (See: [[rc://en/ta/man/translate/figs-abstractnouns]])
