Book	Chapter	Verse	ID	SupportReference	OrigQuote	Occurrence	GLQuote	OccurrenceNote
JAS	front	intro	exs3			0		# Introduction to James<br><br>## Part 1: General Introduction<br><br>### Outline of the book of James<br><br>1. Greetings (1:1)<br>2. Gaining endurance through trials (1:2-4)<br>3. Trusting God for wisdom (1:5-8)<br>4. What poor and rich people should boast about (1:9-11)<br>5. Enduring temptation (1:12-15)<br>6. Hearing and doing what God’s Word says (1:16-27)<br>7. A warning against favoring rich people (2:1-13)<br>8. Faith and works (2:14-26)<br>9. The need for self-control in speech (3:1-12)<br>10. Worldly wisdom and heavenly wisdom contrasted (3:13-18)<br>11. Worldly desires and the sin and conflict they cause (4:1-12)<br>12. A warning against boasting about tomorrow (4:13-17)<br>13. Rebuke of rich people (5:1-6)<br>14. Waiting patiently for the Lord’s return (5:7-11)<br>15. Oaths forbidden (5:12)<br>16. Prayer, forgiveness, and healing (5:13-18)<br>17. Restoration of a sinner (5:19-20)<br><br>### Who wrote the book of James?<br><br>There is wide agreement among biblical scholars that the author of this book was James the half-brother of Jesus, who was a leader in the early church in the city of Jerusalem. He was respected for his wisdom and authority. For example, he had the last word at the Jerusalem Council, an important meeting of the early church, that is described in [Acts 15:13-21](../act/15/13.md). In [Galatians 2:9](../gal/02/09.md), the apostle Paul calls him a “pillar” of the church, meaning one of its most important leaders. However, even though James was an influential church leader and the half-brother of Jesus, in this letter he introduces himself humbly as “a servant of God and of the Lord Jesus Christ.”<br><br>This is not the same man as the apostle James, who was the brother of the apostle John. That James was killed for his faith a few years after Jesus himself was killed and rose from the dead. This letter was written many years after that.<br><br>### What kind of writing is the book of James?<br><br>The book of James has an opening that is typical of the letters of its time, but it does not have a main body that develops sequentially and logically the way a letter would have. Instead, the book presents a collection of short sayings and reflections on various subjects. (In that way it is similar to the book of Proverbs.) As the outline at the beginning of this introduction shows, the book is made up of many short sections that move around from topic to topic.<br><br>James uses many of the devices that speakers used in his time, such as anticipating and answering a question that someone might ask. He also uses many vivid examples drawn from both nature and everyday life. For this reason, many interpreters believe that for the content of this book, James drew on sermons he had preached and on wise advice he had given. He wanted to share all of that wisdom with Christians living in different parts of the Roman Empire to help them face difficult times. It is also possible that James wrote this letter because he was nearing the end of his life and he wanted his wisdom to be preserved and shared after his death.<br><br>### To whom was the book of James written?<br><br>James wrote this letter to believers in Jesus who had a Jewish background. This is clear from many of the things that he says in the letter. For example, he addresses his readers figuratively as “the twelve tribes” in [1:1](../01/01.md). He speaks of their meeting place as a “synagogue” in [2:2](../02/02.md). He assumes in [2:19](../02/19.md) that they are familiar with the essential Jewish affirmation that “God is one,” and in [2:21](../02/21.md) he calls Abraham “our father.” He calls God by the Hebrew title the Lord of Sabaoth in [5:4](../05/04.md). He assumes that his readers will be familiar from the Hebrew Scriptures with the stories of people such as Job ([5:11](../05/11.md)) and Elijah ([5:17](../05/17.md)). These notes will call attention to the places where James engages his readers in light of their Jewish background.<br><br>### What is the book of James about?<br><br>In this letter, James writes to believers living all over the Roman Empire who are suffering. He tells them that God is working through their sufferings to help them become more mature Christians. James also writes much in this letter about how believers should live in this world and treat one another. He urges them to treat other people fairly, not to quarrel and fight, and to be compassionate and generous.<br><br>### How should the title of this book be translated?<br><br>Translators may choose to call this book by its traditional title, “James.” Alternatively, they may choose a different title such as “A Letter from James” or “The Letter James Wrote.” But note that “James” is actually the English form of the author’s name. In the letter itself, he calls himself “Jacob,” which is the original Hebrew form of his name. So you may want to refer to him in the title of the book by the same name that you will use in your translation for the character of Jacob in the book of Genesis. (See: [[rc://en/ta/man/translate/translate-names]])<br><br>## Part 2: Important Religious and Cultural Concepts<br><br>### Did James disagree with Paul about how a person is justified before God?<br><br>Paul taught in Romans that Christians are justified by faith and not by works. James seems to teach that Christians are justified by works. This could be confusing. However, a better understanding of what Paul and James each taught shows that they actually agree with one another. Both of them taught that a person needs faith in order to be justified. They both also taught that true faith would lead a person to do good works. Paul and James taught about these things in different ways because they had different audiences who needed to know different things about being justified. James wrote primarily to Jewish Christians, while Paul wrote to communities in which there were many Gentile Christians. (See: [[rc://en/tw/dict/bible/kt/justice]] and [[rc://en/tw/dict/bible/kt/faith]] and [[rc://en/tw/dict/bible/kt/works]])<br><br>## Part 3: Important Translation Issues<br><br>### How should the translator signal transitions between topics in the book of James?<br><br>James moves briskly from one topic to another. Often he does not end his discussion of one topic with a summary and then begin the discussion of the next topic with an introduction. It might be helpful to your readers if you set topics apart by putting blank lines between them. However, your readers would have the same experience of the letter that its original audience did if you allowed the transitions between topics to remain abrupt. Just as happens in the book of Proverbs, James seems to have wanted each new thought to strike his audience with fresh force. So you may also choose not to put any blank lines between topics in your translation.<br><br>James often makes the link between topics through key words, for example, “rejoice” in 1:1 and “joy” in 1:2; “lacking” in 1:4 and “lacks” in 1:5; and so forth. If you can find ways to translate these key words similarly in both of their occurrences, this should help your readers appreciate the link and the transition.<br><br>### Changes from the present tense to the past tense<br><br>In several places where James offers an illustration of a point he has just made, he narrates that illustration in the past tense as if he were telling the story of something that had happened. If this would be confusing for your readers, you could translate these illustrations in the present tense. Notes will identify each of these places and make that suggestion.<br><br>### Textual issues in the book of James<br><br>See the General Notes to chapter 2 for a discussion of one important textual issue in this book.
JAS	1	intro	pz2q			0		# James 1 General Notes<br><br>## Structure and formatting<br><br>1. Greetings (1:1)<br>2. Gaining endurance through trials (1:2-4)<br>3. Trusting God for wisdom (1:5-8)<br>4. What poor and rich people should boast about (1:9-11)<br>5. Enduring temptation (1:12-15)<br>6. Hearing and doing what God’s Word says (1:16-27)<br><br>James begins this letter in [1:1](../01/01.md) by giving his name, identifying the people to whom he is writing, and offering a greeting. That was the way people typically began letters at this time. However, as Part 1 of the Introduction to James explains, the letter does not then develop the way other letters did. Instead, it is a collection of short sayings and reflections.<br><br>## Special concepts in this chapter<br><br>### Testing and temptation<br><br>James uses a word in this chapter that can mean both “trial,” as in [1:2](../01/02.md) and [1:12](../01/12.md), and “temptation,” as in [1:13-14](../01/13.md). In both cases the word speaks of the situation of a person who needs to choose between doing something good and doing something evil. The difference between the two senses is important. When ULT translates the word as “trial,” God is testing the person and wants him to do what is good. When ULT translates the word as “temptation,” Satan is tempting the person and wants him to do what is evil.
JAS	1	1	pkt2	figs-123person	Ἰάκωβος	1	James	In this culture, letter writers would give their own names first, and they would refer to themselves in the third person. If that would be confusing in your language, you could use the first person. If your language has a particular way of introducing the author of a letter, you could also use that if it would be helpful to your readers. Alternate translation: “I, James, am writing this letter” or “From James” (See: [[rc://en/ta/man/translate/figs-123person]])
JAS	1	1	j000	translate-names	Ἰάκωβος	1	James	This is the name of a man, the half-brother of Jesus. See the information about him in Part 1 of the Introduction to James. (See: [[rc://en/ta/man/translate/translate-names]])
JAS	1	1	j001	figs-metonymy	ταῖς δώδεκα φυλαῖς	1	to the twelve tribes	James is speaking figuratively of the nation of Israel by association with the fact that it was made up of twelve tribes. Alternate translation: “to the nation of Israel” (See: [[rc://en/ta/man/translate/figs-metonymy]])
JAS	1	1	l4i7	figs-metaphor	ταῖς δώδεκα φυλαῖς	1	to the twelve tribes	James is speaking figuratively of Jesus’ followers as if they were the nation of Israel, since the community of the people of God had expanded from that nation to include people of every nation who followed Jesus. Alternate translation: “to followers of Jesus” (See: [[rc://en/ta/man/translate/figs-metaphor]])
JAS	1	1	j002	figs-123person	ταῖς δώδεκα φυλαῖς	1	to the twelve tribes	In this culture, after giving their own names, letter writers would then say to whom they were writing, naming those people in the third person. If that would be confusing in your language, you could use the second person. Alternate translation: “to you followers of Jesus” (See: [[rc://en/ta/man/translate/figs-123person]])
JAS	1	1	vza9	figs-abstractnouns	ἐν τῇ διασπορᾷ	1	in the dispersion	At this time, the term **dispersion** referred to those Jews who were living away from their homeland of Israel and who were scattered into various parts of the Roman Empire. If your readers would misunderstand the abstract noun **dispersion**, you could express the idea behind it with a verb such as “scattered.” Alternate translation: “scattered throughout the world” or, if you are using the second person, “who are scattered throughout the world” (See: [[rc://en/ta/man/translate/figs-abstractnouns]])
JAS	1	1	j003	figs-metaphor	ἐν τῇ διασπορᾷ	1	in the dispersion	While the term **dispersion** referred literally to Jews, James is using it figuratively to describe followers of Jesus. Alternate translation: “scattered throughout the world” or, if you are using the second person, “who are scattered throughout the world” (See: [[rc://en/ta/man/translate/figs-metaphor]])
JAS	1	1	huk9	figs-idiom	χαίρειν.	1	Rejoice!	The word **Rejoice** was used at this time as a greeting. In your translation, you can use the greeting that is typical of your language and culture. Alternate translation: “Greetings!” (See: [[rc://en/ta/man/translate/figs-idiom]])
