Book	Chapter	Verse	ID	SupportReference	OrigQuote	Occurrence	GLQuote	OccurrenceNote
JUD	front	intro	xh5n			0		# Introduction to Jude<br><br>## Part 1: General introduction<br><br>### Outline of the book of Jude<br><br>1. Introduction (1:1–2)<br>2. Warning against false teachers (1:3–4)<br>3. Comparison of false teachers to Old Testament examples (1:5–16)<br>4. Exhortation to live godly lives in response (1:17–23)<br>5. Praises to God (1:24–25)<br><br>### Who wrote the book of Jude?<br><br>The author identified himself as Jude, the brother of James. Both Jude and James were half-brothers of Jesus. It is unknown whether this letter was intended for a specific church.<br><br>### What is the book of Jude about?<br><br>Jude wrote this letter to warn believers against false teachers. Jude often referred to the Old Testament. This may suggest that Jude was writing to a Jewish Christian audience. This letter and 2 Peter have similar content. They both speak about angels, Sodom and Gomorrah, and false teachers.<br><br>### How should the title of this book be translated?<br><br>Translators may choose to call this book by its traditional title, “Jude.” Or they may choose a clearer title, such as “The Letter from Jude” or “The Letter Jude Wrote.” (See: [[rc://en/ta/man/translate/translate-names]])<br><br>## Part 2: Important religious and cultural concepts<br><br>### Who were the people Jude spoke against?<br><br>It is possible that the people Jude spoke against were those who would later become known as Gnostics. These teachers distorted the teachings of Scripture for their own gain. They lived in immoral ways and taught others to do the same.<br><br>## Part 3: Important translation issues<br><br>### Singular and plural “you”<br><br>In this book, the word “I” refers to Jude. Also, the word “you” is always plural and refers to Jude’s audience. (See: [[rc://en/ta/man/translate/figs-exclusive]] and [[rc://en/ta/man/translate/figs-you]])<br><br>### What are the major issues in the text of the Book of 2 Peter?<br><br>For the following verse, there are differences between some of the ancient manuscripts. The ULT text follows the reading that most scholars consider to be original and puts the other reading in a footnote. If a translation of the Bible exists in the language of wider communication in the region, translators may want to consider using the reading found in that version. If not, translators are advised to follow the reading in the ULT.<br>* “that Jesus, having saved a people out of the land of Egypt” [(v. 5)](../01/05.md). Some ancient manuscripts have, “that the Lord, having saved a people out of the land of Egypt.”<br><br>(See: [[rc://en/ta/man/translate/translate-textvariants]])
JUD	1	1	ek3q	figs-123person	Ἰούδας	1		In this culture, letter writers would give their own names first, and they would refer to themselves in the third person. If that would be confusing in your language, you could use the first person. If your language has a particular way of introducing the author of a letter, you could also use that. Alternate translation: “I, Jude, am writing this letter” or “From Jude” (See: [[rc://en/ta/man/translate/figs-123person]])
JUD	1	1	npc3	translate-names	Ἰούδας	1	Jude	**Jude** is the name of a man, the brother of James. See the information about him in Part 1 of the Introduction to Jude. (See: [[rc://en/ta/man/translate/translate-names]])
JUD	1	1	zov5	figs-distinguish	Ἰησοῦ Χριστοῦ δοῦλος, ἀδελφὸς δὲ Ἰακώβου	1		These phrases give further information about Jude. He describes himself as being both **a servant of Jesus Christ** and the **brother of James**. This distinguishes him from the two other men named Jude in the New Testament, which English translations usually distinguish from Jude by translating their names as “Judas”. (See: [[rc://en/ta/man/translate/figs-distinguish]])
JUD	1	1	m3v1	figs-explicit	ἀδελφὸς…Ἰακώβου	1	brother of James	**James** and Jude were half brothers of Jesus. Joseph was their physical father, but he was not the physical father of Jesus. If your readers would misunderstand this relationship, you could say this explicitly. Alternate translation: “a brother of James, both being half brothers of Jesus” (See: [[rc://en/ta/man/translate/figs-explicit]])
JUD	1	1	p5yl	figs-123person	τοῖς…κλητοῖς	1		In this culture, after giving their own names, letter writers would then say to whom they were writing, naming those people in the third person. If that would be confusing in your language, you could use the second person. Alternate translation: “to you who are called” (See: [[rc://en/ta/man/translate/figs-123person]])
JUD	1	1	din3	figs-explicit	τοῖς…κλητοῖς	1		That these people have been **called** implies that God has called and saved them. Alternate translation: “to those to whom God has called and saved” (See: [[rc://en/ta/man/translate/figs-explicit]])
JUD	1	1	gorg	figs-activepassive	ἐν Θεῷ Πατρὶ ἠγαπημένοις	1		If your language does not use this passive form, you could say this with an active form. Alternate translation: “those whom God the Father loves” (See: [[rc://en/ta/man/translate/figs-activepassive]])
JUD	1	1	rih9	guidelines-sonofgodprinciples	Θεῷ Πατρὶ	1		**Father** is an important title for God. (See: [[rc://en/ta/man/translate/guidelines-sonofgodprinciples]])
JUD	1	1	s3oh	figs-activepassive	Ἰησοῦ Χριστῷ τετηρημένοις	1		If your language does not use this passive form, you could say this with an active form. Alternate translation: “those whom Jesus Christ keeps” (See: [[rc://en/ta/man/translate/figs-activepassive]])
JUD	1	2	wjsn	translate-blessing	ἔλεος ὑμῖν, καὶ εἰρήνη, καὶ ἀγάπη πληθυνθείη.	1		In this culture, letter writers would offer a good wish for the recipient before introducing the main business of the letter. Use a form in your language that makes it clear that this is a greeting and blessing. Alternate translation: “May God increase his mercy and peace and love to you” (See: [[rc://en/ta/man/translate/translate-blessing]])
JUD	1	2	r5ae	figs-abstractnouns	ἔλεος ὑμῖν, καὶ εἰρήνη, καὶ ἀγάπη πληθυνθείη	1		If your readers would misunderstand the abstract nouns **mercy**, **peace**, and **love**, you could express the ideas behind them with equivalent expressions. Alternate translation: “May God multiply his merciful acts to you and give you a more peaceful spirit and love you more and more” (See: [[rc://en/ta/man/translate/figs-abstractnouns]])
JUD	1	2	q2qo	figs-metaphor	ἔλεος…καὶ εἰρήνη, καὶ ἀγάπη πληθυνθείη.	1		Jude speaks of **mercy and peace and love** as if they were objects that could increase in size or numbers. If this is confusing in your language, you can use a different metaphor that means that these things will increase, or use plain language. Alternate translation: “May God increase his mercy and peace and love” (See: [[rc://en/ta/man/translate/figs-metaphor]])
JUD	1	2	etoo	figs-you	ὑμῖν	1		The word **you** in this letter refers to the Christians to whom Jude was writing and is always plural. (See: [[rc://en/ta/man/translate/figs-you]])
JUD	1	3	htjd	figs-exclusive	ἀγαπητοί	1		**Beloved ones** refers here to those to whom Jude is writing; it can be extended to all believers. If your readers would misunderstand this term, you could say this explicitly. Alternate translation: “Beloved fellow believers” (See: [[rc://en/ta/man/translate/figs-exclusive]])
JUD	1	3	yfa8		πᾶσαν σπουδὴν ποιούμενος γράφειν ὑμῖν	1		This clause could refer to: (1) that fact that Jude had intended to write about something different than this letter is about. Alternate translation: “although making every effort to write to you” (2) the time when Jude was writing. Alternate translation: “when making every effort to write to you”
JUD	1	3	mi3w		περὶ τῆς κοινῆς ἡμῶν σωτηρίας	1	our common salvation	Alternate translation: “concerning the salvation we share”
JUD	1	3	kvkg	figs-abstractnouns	περὶ τῆς κοινῆς ἡμῶν σωτηρίας	1		If your readers would misunderstand the abstract noun **salvation**, you could express the idea behind it with a verbal phrase. Alternate translation: “about how God saved us all together” (See: [[rc://en/ta/man/translate/figs-abstractnouns]])
JUD	1	3	kjk6	figs-exclusive	ἡμῶν	1		Here, **our** refers to Jude and his audience, fellow believers. (See: [[rc://en/ta/man/translate/figs-exclusive]])
JUD	1	3	si1u	figs-abstractnouns	ἀνάγκην ἔσχον γράψαι	1		If your readers would misunderstand the abstract noun **necessity**, you could express the idea behind it with an equivalent expression. Alternate translation: “I needed to write” (See: [[rc://en/ta/man/translate/figs-abstractnouns]])
JUD	1	3	yyf4	grammar-connect-logic-goal	παρακαλῶν ἐπαγωνίζεσθαι τῇ…πίστει	1	exhorting you to struggle earnestly for the faith	This is a purpose clause. Jude is stating the purpose for which he has written the letter. In your translation, follow the conventions of your language for purpose clauses. Alternate translation (without a comma preceding): “in order to exhort to contend for the faith” (See: [[rc://en/ta/man/translate/grammar-connect-logic-goal]])
JUD	1	3	ls3z	figs-ellipsis	παρακαλῶν ἐπαγωνίζεσθαι τῇ…πίστει	1		Jude is leaving out a word that a sentence would need in many languages in order to be complete. This word can be supplied from the previous clause. Alternate translation: “exhorting you to contend for the faith” (See: [[rc://en/ta/man/translate/figs-ellipsis]])
JUD	1	3	pvyp	figs-activepassive	τῇ ἅπαξ παραδοθείσῃ τοῖς ἁγίοις πίστει	1		If your language does not use this passive form, you could say this with an active form, and you could say who did the action. Alternate translation: “for the faith that God delivered once for all to the saints” (See: [[rc://en/ta/man/translate/figs-activepassive]])
JUD	1	3	j67u		ἅπαξ	1	once for all	Here, **once for all** expresses the idea of something that was done only once and never again. The meaning of **for all** is “for all time.” It does not mean “for the sake of all people.”
JUD	1	4	he1b	grammar-connect-logic-result	γάρ	1		Here, **For** indicates that Jude is giving a reason for why he said in the previous verse that he wants his readers to “contend for the faith.” Alternate translation: “I want you do to this because” (See: [[rc://en/ta/man/translate/grammar-connect-logic-result]])
JUD	1	4	v94i		παρεισέδυσαν γάρ τινες ἄνθρωποι	1		Alternate translation: “For some men have snuck in unnoticed” or “For some men have come in without drawing attention to themselves”
JUD	1	4	qevn	figs-ellipsis	παρεισέδυσαν γάρ τινες ἄνθρωποι	1		In this phrase, Jude is leaving out words from this sentence that it would need in many languages in order to be complete. If this phrase is required in your language, it can be supplied from verse [12](../01/12.md). Alternate translation: “For certain men have entered secretly into your love feasts” or “For certain men have entered secretly into your gatherings” (See: [[rc://en/ta/man/translate/figs-ellipsis]])
JUD	1	4	wwz3	figs-activepassive	οἱ πάλαι προγεγραμμένοι εἰς τοῦτο τὸ κρίμα	1	who long ago have been designated beforehand for this condemnation	If your language does not use this passive form, you could say this with an active form and you could say who did the action. Alternate translation: “men whom God long ago designated beforehand for this condemnation” (See: [[rc://en/ta/man/translate/figs-activepassive]])
JUD	1	4	c7a6	figs-abstractnouns	εἰς τοῦτο τὸ κρίμα	1		If your readers would misunderstand the abstract noun **condemnation**, you could express the idea behind it with an equivalent expression. Alternate translation: “to be condemned” (See: [[rc://en/ta/man/translate/figs-abstractnouns]])
JUD	1	4	u2oj	figs-explicit	ἀσεβεῖς	1		Here, **ungodly ones** refers to the “certain men” mentioned at the beginning of the verse. They are the false teachers Jude is warning his readers about. If your readers would misunderstand this term, you could say this explicitly. Alternate translation: “ungodly false teachers” (See: [[rc://en/ta/man/translate/figs-explicit]])
