Reference	ID	Tags	SupportReference	Quote	Occurrence	Note
front:intro	z2ar				0	# Introduction to 1 Samuel\n\n## Part 1: General Introduction\n\n### Outline of 1 Samuel\n\n1. Samuel as judge over Israel (1:1–7:17)\n    * Samuel as a child (1:1–3:21)\n    * Shiloh priesthood; the fall and death of Eli the priest (4:1–22)\n    * The ark of God and the war with the Philistines (5:1–6:21)\n    * Mizpah; Samuel’s rule over Israel (7:1–17)\n1. Saul and Samuel (8:1–15:35)\n    * Samuel lets the people seek a king (8:1–22)\n    * Saul anointed king (9:1–10:27)\n    * Battle and victory over the Ammonites (11:1–15)\n    * Samuel’s farewell (12:1–25)\n    * Saul’s weakness and failures (13:1–15:35)\n1. David and his conflicts with Saul (16:1–31:13)\n    * God’s choice of David to be king (16:1–23)\n    * David fights Goliath (17:1–58)\n    * Saul’s jealousy of David; David and Jonathan (18:1–20:42)\n    * David in the wilderness; David in Philistia (21:1–30:31)\n    * Death of Saul (31:1–13)\n\n### What is the Book of 1 Samuel about?\n\nThe Book of 1 Samuel is about Samuel, Saul, and David. Samuel was the last of the judges over Israel. Saul was the first king of Israel. Much of the book is about how Saul became king, then how he later sinned against God and died. God chose David to be king after Saul. This book shows how God protected David when Saul tried to kill him.\n\n### How should the title of this book be translated?\n\nTranslators can use the traditional title “1 Samuel” or “First Samuel.” Or, translators may consider a clearer title such as “The First Book About Samuel, Saul, and David.” (See: [[rc://*/ta/man/translate/translate-names]])\n\n### What is the purpose of the Book of 1 Samuel?\n\nThe purpose of 1 Samuel is to give an account of the events leading up to David becoming king of Israel. In 1 Samuel, the twelve tribes of Israel unite under the first king of Israel, Saul. But Saul does not obey Yahweh’s commands. So God uses Samuel to choose David as a king who will trust and obey Yahweh.\n\n### Who wrote the Book of 1 Samuel?\n\nIt is uncertain who wrote 1 Samuel. It may have been someone alive soon after King Solomon died. When Solomon died, the kingdom of Israel split into two kingdoms. The author probably lived in the southern kingdom of Judah. A descendant of David continued to rule over the southern kingdom. The author may have written 1 Samuel to defend David’s right to be king. This would prove that David’s descendant was the rightful king of God’s people.\n\n## Part 2: Important Religious and Cultural Concepts\n\n### Who is “Yahweh’s anointed”?\n\nThe writer of 1 Samuel often speaks of “Yahweh’s anointed.” This refers to the one whom Yahweh chose to be the king of his people. Also, the phrase “Yahweh’s anointed” would make later readers think about the future descendant of David who would become king of God’s people. This person who Yahweh chose would be known as the Messiah. (See: [[rc://*/tw/dict/bible/kt/anoint]] and [[rc://*/tw/dict/bible/kt/peopleofgod]] and [[rc://*/tw/dict/bible/kt/christ]])\n\n## Part 3: Important Translation Issues\n\n### What are curses, as found in 1 Samuel and elsewhere?\n\nA curse is a strong statement a person makes to cause bad things to happen to the person or thing being cursed. A curse usually has this pattern: “May God do so to you, and even more, if you hide anything from me of all the words that he spoke to you” (1 Sam. 3:17). Other instances of curses in 1 and 2 Samuel are found in 1 Sam 14:44; 20:13; 25:22; 2 Sam 3:9, 35; and 19:13. The translator should represent a curse in the project language in as strong a way as possible.\n\n### How is the name “Israel” used in the Bible?\n\nThe name “Israel” is used in many different ways in the Bible. Jacob was the son of Isaac. God changed his name to Israel. The descendants of Jacob became a nation also called Israel. Eventually, the nation of Israel split into two kingdoms. The northern kingdom was named Israel. The southern kingdom was named Judah. (See: [[rc://*/tw/dict/bible/kt/israel]])\n\nThe Book of 1 Samuel has two references to Israel and Judah ([1 Samuel 17:52](../17/52.md), [1 Samuel 18:16](../18/16.md)). However, these references appear in the text long before the two kingdoms split apart. It seems clear that the references to Israel and Judah are in the text because the author wrote at a time after the kingdoms split. He wanted the readers to understand that all the twelve tribes had supported David.\n\n### What is the meaning of the phrase “to this day”?\n\nThis phrase was used by the narrator to refer to the time when he was writing. The translator should be aware that “to this day” refers to a time already passed. He must avoid giving the impression that the present day of the translation’s readers is meant. The translator might decide to say, “to this day, at the time when this is being written” or “to this day, at the time of writing.” This phrase occurs in 1 Samuel 5:5; 6:18: 27:6; 30:25.
1:intro	cj3l				0	# 1 Samuel 1 Introduction\n\n## Structure and Formatting\n\nThis chapter is the beginning of the first section of the book of 1 Samuel, chapters 1–7, which describe Samuel as a religious leader of Israel. This chapter tells how Samuel was born and how his parents dedicated him to Yahweh.\n\n## Translation Issues in This Chapter\n\n### Why does the author use the name Ramathaim Zophim for Ramah in 1:1?\n\nThe author says in 1:1 that Elkanah was from a town called Ramathaim Zophim. However, in all subsequent references in the book, the author uses the name Ramah for the town where Elkanah and later his son Samuel lived. The word Ramathaim is the dual of the word Ramah, which means “hill.” The city may have been built on two hills, and it may originally have had the name Ramathaim. This name may eventually have been shortened to Ramah, but the author may wish to use the original name for clarity and accuracy in his historical account. The author adds the term Zophim, meaning that this was where the descendants of a man named Zuph lived. He does this to distinguish this city from the three other cities in the land of Canaan that also had the name Ramah. In your translation, you could use the name Ramathaim Zophim and spell it the way it sounds in your language. However, if your readers might wonder why the author says in 1:19 that Elkanah and his family returned to “their house in Ramah,” in 1:1 you could use a description such as “the city called Ramah where the descendants of Zuph live.” (See: [[rc://*/ta/man/translate/translate-transliterate]])\n\n### Why does the author call the tent of meeting the “temple” in 1:9?\n\nThe author says in 1:9 that the priest Eli was sitting by the doorpost of “the temple of Yahweh.” However, Yahweh had no temple at this time. King Solomon built a temple for him in Jerusalem many years later. It could be that this account was written or edited after the temple was built and that the author knew that his readers would understand that he was using that term to mean generally the place where the Israelites worshiped Yahweh. Alternatively, the author could have been speaking of the tent of meeting in elevated language. The word that is often translated as “temple” can also mean “palace.” The author may have felt that the place where Yahweh was present among his people deserved to be described in grand language as a temple or palace. However, if it would not be clear to your readers that in 1:9 he means the tent of meeting, you could use the word that you have been using in your translation for that structure. The UST models one way to do that.\n\n### Why does Elkanah say “may Yahweh raise up his word” when Yahweh has not said anything?\n\nIn 1:23, Elkanah says “may Yahweh raise up his word,” that is, “may Yahweh do what he has said,” even though the author has not recorded Yahweh saying anything. It could be that Elkanah is referring to what Eli said to Hannah in 1:17, “may the God of Israel grant your request.” Elkanah would be considering that what Yahweh’s priest had spoken constituted a “word” from Yahweh himself. Hannah’s request involved not only her having a son but that son having a long life throughout which he was specially dedicated to God and effective in his service. Elkanah could be wishing that Yahweh would make all of these things happen. Another possibility is that the term translated as “word” could have the meaning of “thing” or “matter” in this context. In that case Elkanah would be saying “may Yahweh accomplish his purpose” for the child. He would not be referring to anything that Yahweh had explicitly said.\n\n### What “vow” did Elkanah make?\n\nIn 1:21, the author says that Elkanah went to Shiloh to sacrifice a “vow.” He is referring to a sacrifice that Elkanah had promised to make, and he assumes that readers will understand what he means by this. However, he has not described Elkanah making a vow. The most probable explanation is that the previous year, Hannah had told Elkanah that Eli had said to her, “may the God of Israel grant your request.” Elkanah would then have made a vow that if God would indeed grant this request, he would offer a special sacrifice. Some interpreters suggest that Elkanah made this vow when, as 1:19 says, the family worshiped Yahweh the morning after Eli spoke with Hannah. However, since the text does not state any of this explicitly, it would probably be best to express the meaning of the term “vow” without saying what Elkanah vowed or when. A note to 1:21 suggests one way to do that.\n
1:1	uw43		rc://*/ta/man/translate/writing-participants	וַ⁠יְהִי֩ אִ֨ישׁ אֶחָ֜ד	1	The author is using this phrase to introduce Elkanah as a new participant in the story. If your language has its own way of introducing new participants, you can use it here in your translation. Alternate translation: [There once was a man]
1:1	ab34		rc://*/ta/man/translate/translate-names	הָ⁠רָמָתַ֛יִם צוֹפִ֖ים	1	The word **Ramathaim Zophim** is the name of a city. This is the same city that the author calls Ramah in the rest of the book. See the discussion in the Introduction to 1 Samuel of why he uses a different name here.
1:2	ab56		rc://*/ta/man/translate/translate-ordinal	הַ⁠שֵּׁנִ֖ית	1	If your language does not use ordinal numbers, you can use a cardinal number here or an equivalent expression. Alternate translation: [the other]
1:3	ij45		rc://*/ta/man/translate/figs-synecdoche	הָ⁠אִ֨ישׁ הַ⁠ה֤וּא	1	The author is speaking of Elkanah to mean him and his entire family. The text makes clear in the next two verses that his wives and children accompanied him. If it would be helpful in your language, you could state the meaning plainly. Alternate translation: [that man and his family]
1:3	ab78		rc://*/ta/man/translate/figs-explicit	וְ⁠עָלָה֩	1	See the discussion in the Introduction to 1 Samuel of how Hebrew speakers and writers marked travel notices for change in elevation. The author says **up** here because Shiloh was at a higher elevation than the city where Elkanah and his family lived. Alternate translation: [went]
1:3	ab90		rc://*/ta/man/translate/translate-plural	מִ⁠יָּמִ֣ים ׀ יָמִ֔ימָ⁠ה	1	In Hebrew, the plural **days** can mean a year. That is the meaning in this context. Alternate translation: [from year to year]
1:4	cd12		rc://*/ta/man/translate/figs-metonymy	וַ⁠יְהִ֣י הַ⁠יּ֔וֹם וַ⁠יִּזְבַּ֖ח אֶלְקָנָ֑ה וְ⁠נָתַ֞ן	1	The author is using the term **day** by association to mean a specific time or occasion. If it would be helpful in your language, you could state the meaning plainly. Alternate translation: [And on each occasion when Elkanah sacrificed, he gave]
1:5	cd34		rc://*/ta/man/translate/figs-synecdoche	מָנָ֥ה אַחַ֖ת אַפָּ֑יִם כִּ֤י	1	The author is using one part of two people, their **faces**, to mean the people themselves. If it would be helpful in your language, you could state the meaning plainly. Alternate translation: [a portion large enough to feed two people] or [a double portion]
