Reference	ID	Tags	SupportReference	Quote	Occurrence	Note
front:intro	ur4j				0	# Introduction to 2 Corinthians\n\n## Part 1: General Introduction\n\n### Outline of the Book of 2 Corinthians\n\n1. Opening and thanksgiving (1:1–7)\n2. Trouble and boasting (1:8–14)\n3. Interrupted travel plans (1:15–2:13)\n     * The interruption and the reason for it (1:15–2:4)\n     * The person who caused grief (2:5–11)\n     * Travel to Troas and Macedonia (2:12–13)\n4. Paul’s ministry (2:14–7:4)\n     * The fragrance of Christ (2:14–17)\n     * Qualification for ministry (3:1–6)\n     * Ministry of Moses and ministry of Paul (3:7–4:6)\n     * Suffering and ministry (4:7–18)\n     * Confidence in the resurrection (5:1–10)\n     * The gospel (5:11–6:2)\n     * Proofs of ministry (6:3–10)\n     * Join with fellow believers, not unbelievers (6:11–7:4)\n5. Paul rejoices about Titus’ visit to the Corinthians (7:5–16)\n6. Giving for the gospel (8:1–9:15)\n     * Example of the Macedonians (8:1–6)\n     * Paul appeals to the Corinthians to give generously (8:7–9:5)\n     * Blessing and thanksgiving (9:6–15)\n7. Paul defends his apostolic authority (10:1–13:10)\n     * The true standard for boasting (10:1–18)\n     * Paul defends his speech and conduct (11:1–15)\n     * Paul boasts about his suffering (11:16–33)\n     * Paul’s ascent to heaven and the thorn in the flesh (12:1–10)\n     * Paul concludes his boasting (12:11–13)\n     * Paul defends his financial conduct (12:14–18)\n     * Paul warns the Corinthians about his third visit (12:19–13:10)\n8. Closing (13:11–13)\n\n### Who wrote the Book of 2 Corinthians?\n\nPaul was the author. He was from the city of Tarsus. He had been known as Saul in his early life. Before becoming a Christian, Paul was a Pharisee. He persecuted Christians. After he became a Christian, he traveled several times throughout the Roman Empire telling people about Jesus.\n\nPaul started the church in Corinth. He was staying in the city of Ephesus when he wrote this letter.\n\n### What is the Book of 2 Corinthians about?\n\nIn 2 Corinthians, Paul continued to write about the conflicts among the Christians in the city of Corinth. It is clear in this letter that the Corinthians had obeyed his previous instructions to them. In 2 Corinthians, Paul encouraged them to live in a way that would please God.\n\nPaul also wrote to assure them that Jesus Christ sent him as an apostle to preach the Gospel. Paul wanted them to understand this, because a group of Jewish Christians opposed what he was doing. They claimed Paul was not sent by God and he was teaching a false message. This group of Jewish Christians wanted Gentile Christians to obey the law of Moses.\n\n### How should the title of this book be translated?\n\nTranslators may choose to call this book by its traditional title, “Second Corinthians.” Or they may choose a clearer title, such as “Paul’s Second Letter to the Church in Corinth.” (See: [[rc://*/ta/man/translate/translate-names]])\n\n## Part 2: Important Religious and Cultural Concepts\n\n### What was the city of Corinth like?\n\nCorinth was a major city located in ancient Greece. Because it was near the Mediterranean Sea, many travelers and traders came to buy and sell goods there. This resulted in the city having people from many different cultures. The city was famous for having people who lived in immoral ways. The people worshipped Aphrodite, the Greek goddess of love. As part of the ceremonies honoring Aphrodite, her worshipers had sexual intercourse with temple prostitutes.\n\n### What did Paul mean by “false apostles” (11:13)?\n\nThese were Jewish Christians. They taught that Gentile Christians had to obey the law of Moses in order to follow Christ. Christian leaders had met in Jerusalem and decided on the matter (See: Acts 15). However, it is clear that there were still some groups that disagreed with what the leaders in Jerusalem decided.\n\n## Part 3: Important Translation Issues\n\n### Singular and plural “you”\n\nIn this book, the word “I” refers to Paul. Also, the word “you” is almost always plural and refers to the believers in Corinth. There are two exceptions to this: 6:2 and 12:9. (See: [[rc://*/ta/man/translate/figs-exclusive]] and [[rc://*/ta/man/translate/figs-you]])\n\n### How are the ideas of “holy” and “sanctify” represented in 2 Corinthians in the ULT?\n\nThe scriptures use such words to indicate any one of various ideas. For this reason, it is often difficult for translators to represent them well in their versions. In translating into English, the ULT uses the following principles:\n* Sometimes the meaning in a passage implies moral holiness. Especially important for understanding the gospel is the fact that God considers Christians to be sinless because they are united to Jesus Christ. Another related fact is that God is perfect and faultless. A third fact is that Christians are to conduct themselves in a blameless, faultless manner in life. In these cases, the ULT uses “holy,” “holy God,” “holy ones,” or “holy people.”\n* The meaning in most passages in 2 Corinthians is a simple reference to Christians without implying any particular role filled by them. In these cases, the ULT uses “believer” or “believers.” (See: 1:1; 8:4; 9:1, 12; 13:13)\n* Sometimes the meaning in the passage implies the idea of someone or something set apart for God alone. In these cases, the ULT uses “set apart,” “dedicated to,” “reserved for,” or “sanctified.”\n\nThe UST will often be helpful as translators think about how to represent these ideas in their own versions.\n\n### What did Paul mean by expressions like “in Christ” and “in the Lord”?\n\nThis kind of expression occurs in 1:19, 20; 2:12, 17; 3:14; 5:17, 19, 21; 10:17; 12:2, 19; and 13:4. Paul meant to express the idea of a very close union with Christ and the believers. At the same time, he often intended other meanings as well. See, for example, “A door was opened for me in the Lord,” (2:12) where Paul specifically meant that a door was opened for Paul by the Lord.\n\nPlease see the introduction to the Book of Romans for more details about this kind of expression.\n\n### What does it mean to be a “new creation” in Christ (5:17)?\n\nPaul’s message was that God makes Christians part of a “new world” when a person believes in Christ. God gives a new world of holiness, peace, and joy. In this new world, believers have a new nature that has been given them by the Holy Spirit. Translators should try to express this idea.\n\n### What are the major issues in the text of the Book of 2 Corinthians?\n* “and in your love for us” (8:7). Many versions, including the ULT and UST, read this way. However, many other versions read, “and in our love for you.” There is strong evidence that each reading is original. Translators should probably follow the reading preferred by other versions in their region.\n\n(See: [[rc://*/ta/man/translate/translate-textvariants]])
1:intro	tsh3				0	# 2 Corinthians 1 General Notes\n\n## Outline of Chapter One\n\n1. Paul greets and blesses the Corinthian Christians (1:1-2)\n1. Paul praises God for his comfort in affliction (1:3-1:11)\n1. Paul explains his conduct and his change of plans (1:12-2:4)\n\n## Structure and formatting\n\nThe first paragraph reflects a common way to begin a letter in the ancient Near East.\n\n## Special Concepts\n\n### Comfort\n\nComfort is a major theme of this chapter. Paul explains that believers experience affliction because they belong to Jesus. When this happens, the Holy Spirit comforts them. Then they are able to comfort others. Paul wants the Corinthian believers to know that he is not exempt from terrible persecution but that God always rescues and comforts him, as well. He also wants them to know that God will do the same for them.\n\n\n### Paul’s integrity\n\n\nApparently, people in Corinth had been criticizing Paul, saying that he was not sincere and did not truly care about the Corinthian believers. Therefore, Paul refutes them by explaining his motives for what he was doing.\n\n## Important figures of speech in this chapter\n\n### Rhetorical question\n\nPaul uses two rhetorical questions in 1:17 to defend himself against a charge of not being sincere. (See: [[rc://*/ta/man/translate/figs-rquestion]])\n\n### Metaphorical “Yes and No”\n\nIn 1:17-20 Paul uses the words “yes” and “no” together to represent the attitudes and speech of a person who is unstable and easily changes his mind about what he wants to do. It seems that some people had been accusing Paul of being such a person, but he makes it clear that he is not. Instead, he imitates God who is always faithful, and Jesus, who faithfully fulfills all of the promises of God.  \n\n## Other possible translation difficulties in this chapter\n\n### Holy Spirit as guarantee\n\nIn 1:22 Paul says that the Holy Spirit is the “guarantee” of all of God's promises, including eternal life with him. The term comes from business deals in which a person gives some valuable item to another person as a “guarantee” that the first person will pay the full amount of money that he owes. Other words for this idea include “pledge” or “down-payment.” Paul uses this idea to explain that, because believers experience the blessings of the Holy Spirit now, they can be sure that they will experience all of God’s given promises after they die. (See: [[rc://*/tw/dict/bible/kt/eternity]] and [[rc://*/tw/dict/bible/kt/save]])\n\n### God as witness\n\nIn 1:23 Paul calls God to be a witness to his character, that he is being honest and faithful to the Corinthian believers. It is probable that Paul means this as an oath, in which it is expected that God would bear witness to what Paul is saying by dramatically punishing him or striking him dead if he is lying. Alternatively, he may intend that God will bear witness by affirming Paul's honesty to the Corinthian believers through the Holy Spirit.
1:1	mel3		rc://*/ta/man/translate/figs-explicit	Παῦλος & τῇ ἐκκλησίᾳ τοῦ Θεοῦ τῇ οὔσῃ ἐν Κορίνθῳ	1	Your language may have a particular way of introducing the author of a letter and its intended audience. For example, you may want to indicate that this is a letter. Alternate translation: “I, Paul … wrote this letter to you, the church of God that is in Corinth”
1:1	f59u		rc://*/ta/man/translate/figs-exclusive	Τιμόθεος ὁ ἀδελφὸς	1	The word **our** here includes the Corinthian believers. The original has only “the brother,” but the word “our” was considered necessary for English. Use the word that is most natural in your language. (See: [[rc://*/ta/man/translate/figs-exclusive]])
1:1	mhg5		rc://*/ta/man/translate/translate-names	Ἀχαΐᾳ	1	**Achaia** is the name of a Roman province in the southern part of modern-day Greece. (See: [[rc://*/ta/man/translate/translate-names]])
1:2	heps		rc://*/ta/man/translate/translate-blessing	χάρις ὑμῖν καὶ εἰρήνη, ἀπὸ	1	After stating his name and the people to whom he is writing, Paul adds a blessing. Use a form that people would recognize as a blessing in your language. Alternate translation: “May you experience kindness and peace within you from” or “I pray that you will have grace and peace from” (See: [[rc://*/ta/man/translate/translate-blessing]])
1:2	f6k1			χάρις ὑμῖν καὶ εἰρήνη, ἀπὸ Θεοῦ Πατρὸς ἡμῶν καὶ Κυρίου Ἰησοῦ Χριστοῦ	1	If your language does not use an abstract noun for the ideas of **Grace** and **peace**, you could express the same ideas in another way. Alternate translation: “I pray that God our Father and the Lord Jesus Christ will be favorable to you and give you a peaceful spirit” (See: [[rc://*/ta/man/translate/figs-abstractnouns]])
1:3	px2q		rc://*/ta/man/translate/figs-activepassive	εὐλογητὸς ὁ Θεὸς καὶ Πατὴρ τοῦ Κυρίου ἡμῶν Ἰησοῦ Χριστοῦ	1	If your language does not use the passive form in this way, you can state this in active form or in another way that is natural in your language. Alternate translation: “May we always praise the God and Father of our Lord Jesus Christ” (See: [[rc://*/ta/man/translate/figs-activepassive]])
1:3	xshp		rc://*/ta/man/translate/translate-blessing	εὐλογητὸς ὁ Θεὸς καὶ Πατὴρ τοῦ Κυρίου ἡμῶν Ἰησοῦ Χριστοῦ	1	After blessing the recipients of his letter, Paul adds a blessing to God. If your people would consider it strange for people to bless God, then translate it as praise, since that is what we do when we bless God. Alternate translation: “May we always praise the God and Father of our Lord Jesus Christ” (See: [[rc://*/ta/man/translate/translate-blessing]])
1:3	k7dl		rc://*/ta/man/translate/guidelines-sonofgodprinciples	ὁ Θεὸς καὶ Πατὴρ	1	**Father** is an important title for God. Both **God** and **Father** refer to God. This phrase could mean (1) God is both God and Father to our Lord Jesus, or (2) God is Father to our Lord Jesus. Alternate translation: “God, who is the Father”
