Reference	ID	Tags	SupportReference	Quote	Occurrence	Note
front:intro	d9wn				0	# Introduction to Genesis\n\n## Part 1: General Introduction\n\n### Outline of Genesis\n\n1. From the Creation to the Tower of Babel\n- The account of the creation of the heavens and the earth (1:1–4:26)\n- The account of Adam (5:1–6:8)\n- The account of Noah (6:9–11:9)\n- The account of Shem (11:10–11:26)\n- The account of Terah (11:27–11:32)\n1. The accounts of the Patriarchs\n- The account of Abraham (12:1-25:11)\n- The account of Ishmael (25:12–25:18)\n- The account of Isaac, focusing on Jacob (25:19–35:29)\n- The account of Esau (36:1–37:1)\n- The account of Jacob, focusing on Joseph (37:2–50:26)\n\n### What is Genesis about?\n\nGenesis begins with the early years of creation. It tells about God creating heaven, earth, and the first humans. It also tells about the first time humans sinned. This caused humans to be separated from God and to eventually die. Genesis 1-11 briefly tells about other important events that occurred over many hundreds of years. (See: [[rc://*/tw/dict/bible/kt/sin]] and [[rc://*/tw/dict/bible/other/death]])\n\nGenesis is also about the beginning of God’s people. Genesis 12-50 tells about how God remained faithful to Abraham and his descendants. Abraham’s descendants became known as the Hebrews and later as the Israelites. These people would worship Yahweh and be his people.\n\nGenesis ends with Abraham’s descendants living in Egypt with the hope of returning one day to the Promised Land. (See: [[rc://*/tw/dict/bible/kt/promisedland]])\n\n### How should the title of this book be translated?\n\n“Genesis” means “beginning,” so translators should express this idea in their title. Titles such as “The Beginning of Things” may be suitable. (See: [[rc://*/ta/man/translate/translate-names]])\n\n### Who wrote Genesis?\n\nThe writers of both the Old and New Testaments presented Moses as being very involved with writing the book of Genesis. Since ancient times, both Jews and Christians have thought that Moses wrote Genesis, Exodus, Leviticus, Numbers, and Deuteronomy.\n\n## Part 2: Important Religious and Cultural Concepts\n\n### What are the covenants mentioned in Genesis?\n\nA covenant is a formal, binding agreement between two parties that one or both parties must fulfill.\n\nGod made three covenants in Genesis. In the covenant with Adam, God promised to bless Adam and cause him to prosper. Adam was not allowed to eat fruit from the tree of knowledge of good and evil. God promised that Adam would die if he disobeyed what he commanded.\n\nIn the covenant with Noah, God promised to never again destroy the world with a flood.\n\nIn the covenant with Abraham, God promised to make Abraham’s descendants into a great nation. He also promised to protect them and to give them a land of their own.\n\n### What was God’s purpose for the book of Genesis?\n\nThe book of Genesis says that God created a very good world. However, the world became cursed because human beings began to sin. But Genesis shows that God continues to have complete control over the world.\n\nGenesis also describes the start of God’s plan to bless the whole world again. This is shown when God makes a covenant with Abraham. With this covenant, God chose Abraham and his descendants to be his people. God promised to bless the world through Abraham’s descendants.\n\n### What was the custom for inheritance as described by Genesis?\n\nThere are several passages in Genesis that show the customs of a father who is about to die passing on a blessing to his son. Abraham blessed his son, Isaac, and made him the ancestor of the people of Israel. However, Ishmael, Abraham’s other son, did not receive that same divine blessing. Likewise, Isaac’s older son Esau did not receive the blessing. Isaac’s younger son, Jacob, received it instead. (See: [[rc://*/tw/dict/bible/kt/inherit]] and [[rc://*/tw/dict/bible/kt/bless]])\n\nAlso, it was the custom for a man to divide among his sons his material wealth and land. All his sons received equal portions except the oldest son. The firstborn son received twice as much. His portion was called a double portion. Esau gave up his right to receive the double portion.\n\n### How does Genesis present sin and evil?\n\nGenesis presents sin as doing things that are against God’s word and God’s ways. It presents evil as the opposite of good.\n\nSin and evil have affected all people. This started when Adam disobeyed God in the Garden of Eden.\n\n## Part 3: Important Translation Issues\n\n### What is one way in which Genesis marks the beginning of important sections?\n\nGenesis uses one Hebrew phrase that the ULT translates as “this is the record of,” “these were the events concerning,” or “these were the descendants of.” The information in these sections may have come from sources much older than Moses. These passages are 2:4; 5:1; 6:9; 10:1; 11:10, 27; 25:12, 19; 36:1, 9; 37:2.\n\nIf the translator wants to translate in only two ways, we recommend for most passages a phrase such as, “this is the record about” or “this is information about.” Some passages will be better translated, however, as “These were the descendants of.”\n\n### Why are the beginnings of some narrative sections in Genesis difficult to translate?\n\nOften in Genesis, the author first summarizes what is about to happen. Then in the following verses, the author tells the details of what happened. Probable examples of this style occur in Gen. 1:1, 6:22, 18:1, 21:1 and 22:1.\n\nHowever, in many languages, it is preferred to write summaries at the end of a narrative. In this case, translators may choose a different approach. For example, in Gen. 1:1 (“In the beginning God created the heavens and the earth”), translators may decide to translate like this: “This is about how God made the heavens and the earth in the beginning.”\n\n### What is the difference between “people,” “peoples,” and “people groups”?\n\nThe word “people” refers to all the individuals who belong to a group, such as “the people of Israel.” The word “peoples” (used in the ULT) refers to multiple groups of people. Each people group might speak their own language, have their own customs, and worships their own gods. Some different peoples in the ancient Near East were those of Israel, Egypt, Edom, Moab, and Ammon.\n\nThe expression “people groups” (used in the UST) means the same thing as “peoples” in the ULT. The translator should use the most equivalent term that is common in the project language.\n\n### What is the relationship between individuals and peoples that have similar names?\n\nMany individuals in Genesis eventually had large numbers of descendants who were called after their ancestor’s name. For example, Cush was the name of an individual. But, “Cush” also became the name of nation that his descendants formed. They were called “Cushites.” If possible, when translating these names, the translator should make the individual’s name and the nation’s name similar. Examples of this are “Cush” and “Cushite” or “Moab” and “Moabite.” Otherwise, the translator may say, “the descendants of Cush” or “the descendants of Moab.”\n\n### What do the phrases “to this day” or “of today” mean?\n\nThese phrases were used by the narrator to refer to the time when he was writing. The translator should be aware that “to this day” and “of today” refer to a time already passed. The translator might decide to say, “to this day, at the time when this is being written,” or, “to this day, at the time of writing.” This Hebrew phrase occurs in Gen. 19:37, 19:38, 22:14, 26:33, 32:32, 35:20, 47:26, 48:18.
1:intro	zb6f				0	# Genesis 01 General Notes\n\n## Structure and formatting\n\nThis chapter presents the first account of God creating the world. There is a pattern to this account: “God said … God saw that it was good … This was evening and morning, the first day.” Translators should preserve this pattern in their versions.\n\n## Special concepts in this chapter\n\n### The universe\n\nThis account of creation is told within the framework of ancient Hebrew ideas about the universe: the earth was resting with water around it and below it. Over the earth was something like a vast dome, called “an expanse between the waters” (1:6), on top of which was more water. Translators should try to keep these original images in their work, even though readers in their project language might have a completely different idea of what the universe is like.\n\n### Evening and morning\n\nGenesis 1 presents the ancient Hebrew idea of a day: it begins with sunset, lasts through the night and continues through the daylight hours until the next sunset. This pattern should be preserved in translation, even if readers in the project language define “day” differently.\n\n## Other possible translation difficulties in this chapter\n\n### “In the beginning”\n\nSome languages and cultures speak of the world as if it has always existed, as if it had no beginning. But “very long ago” is different from “in the beginning,” and you need to be sure that your translation communicates correctly.\n\n### “God said, ‘Let there be’”\n\nThis expression occurs often in this chapter. It can be difficult to translate, because God is not shown as talking to a particular person. If God is talking to a thing, it is something not yet in existence. Translators should find the most natural way in the project language to signal the idea that God spoke things into existence; he created the world and the things in it by simply commanding that they should exist.
1:1	f2mg			In the beginning, God created the heavens and the earth	0	“This is about how God made the heavens and the earth in the beginning.” This statement summarizes the rest of the chapter. Some languages translate it as “A very long time ago God created the heavens and the earth.” Translate it in a way that shows this actually happened and is not just a folk story.
1:1	d49e			In the beginning	0	This refers to the start of the world and everything in it.
1:1	sk34			the heavens and the earth	0	“the sky, the ground, and everything in them”
1:1	mz2j			heavens	0	This refers here to the sky.
1:2	fn3q			without form and empty	0	God had not yet put the world in order.
1:2	ta3a			the deep	0	“the water” or “the deep water” or “the vast water”
1:2	n2d9			the surface of the waters	0	“the surface of the water” or “the water”
1:3	d7qw		rc://*/ta/man/translate/figs-imperative	Let there be light	0	This is a command. By commanding that light should exist, God made it exist. (See: [[rc://*/ta/man/translate/figs-imperative]])
