Reference	ID	Tags	SupportReference	Quote	Occurrence	Note
front:intro	hz6m				0	# Introduction to Haggai\n\n## Part 1: General Introduction\n\n### Outline of Haggai\n\n1. The people must finish the temple for Yahweh to bless them again (1:1–15)\n1. This temple will be more glorious than the first temple (2:1–9)\n1. Yahweh will bless a defiled people (2:10–19)\n1. Yahweh will defeat the nations and establish his ruler (2:20–23)\n\n### What is the Book of Haggai about?\n\nThe people of Israel lacked food and warm clothes. The prophet Haggai told them it was because they were not obeying Yahweh. If they would listen to him and start rebuilding the temple, then Yahweh would send rain and bless them again. The people listened and began to work on the temple. Yahweh encouraged the people, the priests, and the leaders. He told them that he was with them and would bless them.\n\n### How should the title of this book be translated?\n\nThis book traditionally has been titled “Haggai” or “The Book of Haggai.” Translators may decide to call it “The Sayings of Haggai.” (See: [[rc://*/ta/man/translate/translate-names]])\n\n### Who wrote the Book of Haggai?\n\nThe prophet Haggai wrote this book. He wrote it after the exiles returned from Babylon. They returned during the reign of the Persian king Darius I. Haggai probably gave all the prophesies in this book during a four-month period of time.\n\nVery little is known about Haggai. He lived at the same time as the prophet Zechariah.\n\n## Part 2: Important Religious and Cultural Concepts\n\n### Did Haggai prophesy before Ezra and Nehemiah?\n\nIt is likely that Haggai prophesied before the time of Ezra and Nehemiah.\n\n## Part 3: Important Translation Issues\n\n### What does “consider your ways” mean?\n\nYahweh told the people to “consider your ways” several times in this book. This means that he wants them to think carefully about how they have lived and behaved.
1:intro	n84r				0	# Haggai 1 General Notes\n\n## Structure and formatting\n\nSome translations set each line of poetry farther to the right than the rest of the text to make it easier to read. The ULT does this with the poetry in this chapter.\n\n## Special concepts in this chapter\n\n### Farming imagery\n\nScripture frequently uses the imagery of farming in reference to spiritual matters. The statement “You have sown much seed, but bring in little harvest” indicates that they had done a lot but have very little to show for it. (See: [[rc://*/tw/dict/bible/kt/spirit]] and [[rc://*/tw/dict/bible/other/seed]])
1:1	qt5i		rc://*/ta/man/translate/translate-ordinal	In the second year of Darius the king	0	“In the second year of the reign of Darius the king” or “After Darius had been king for more than a year” (See: [[rc://*/ta/man/translate/translate-ordinal]])
1:1	ha87		rc://*/ta/man/translate/translate-names	Darius … Haggai … Zerubbabel … Shealtiel … Joshua … Jehozadak	0	These are all names of men. (See: [[rc://*/ta/man/translate/translate-names]])
1:1	y3ei		rc://*/ta/man/translate/translate-hebrewmonths	in the sixth month, on the first day of the month	0	“on the first day of the sixth month.” This is the sixth month of the Hebrew calendar. The first day is near the middle of August on Western calendars. (See: [[rc://*/ta/man/translate/translate-hebrewmonths]] and [[rc://*/ta/man/translate/translate-ordinal]])
1:1	ria7		rc://*/ta/man/translate/figs-idiom	the word of Yahweh came	0	This idiom is used to introduce a special message from God. Alternate translation: “Yahweh gave a message” or “Yawheh spoke this message” (See: [[rc://*/ta/man/translate/figs-idiom]])
1:1	fdv5			Yahweh	0	This is the name of God that he revealed to his people in the Old Testament. See the translationWord page about Yahweh concerning how to translate this.
1:1	wn8q		rc://*/ta/man/translate/figs-synecdoche	by the hand of Haggai	0	Here the word “hand” refers to Haggai himself. Yahweh used Haggai as the agent to deliver his command. See how you translated this in [Haggai 1:1](../01/01.md). Alternate translation: “through Haggai” (See: [[rc://*/ta/man/translate/figs-synecdoche]])
1:2	cav8			Yahweh’s house	0	the temple
1:3	xs12		rc://*/ta/man/translate/figs-idiom	the word of Yahweh came	0	This idiom is used to introduce a special message from God. See how you translated this in [Haggai 1:1](../01/01.md). Alternate translation: “Yahweh gave a message” or “Yawheh spoke this message” (See: [[rc://*/ta/man/translate/figs-idiom]])
1:3	wk3b		rc://*/ta/man/translate/figs-synecdoche	by the hand of Haggai	0	Here the word “hand” refers to Haggai himself. Yahweh used Haggai as the agent to deliver his command. See how you translated this in [Haggai 1:1](../01/01.md). Alternate translation: “through Haggai” (See: [[rc://*/ta/man/translate/figs-synecdoche]])
1:4	ms19		rc://*/ta/man/translate/figs-rquestion	Is it a time for you … ruined?	0	Yahweh is rebuking the people. If it would be helpful in your language, you could express this question as a statement. Alternate translation: “Now is not the time for you … ruined.” (See: [[rc://*/ta/man/translate/figs-rquestion]])
1:4	u9tf			this house	0	the temple of Yahweh
1:6	rma3			but cannot get drunk	0	There is not enough wine to satisfy the people’s thirst and not nearly enough for drunkenness. The reader should understand that the text is not calling drunkenness a good thing.
1:6	aw8t		rc://*/ta/man/translate/figs-metaphor	the wage earner earns money only to put it into a bag full of holes	0	Not earning enough money to buy necessary goods is spoken of as if the person were losing the money that falls out through holes in the money bag. Alternate translation: “the money the worker earns is gone before he finishes buying everything he needs” (See: [[rc://*/ta/man/translate/figs-metaphor]])
1:8	qmi7		rc://*/ta/man/translate/figs-synecdoche	bring timber	0	This represents only a part of what they needed to build the temple. (See: [[rc://*/ta/man/translate/figs-synecdoche]])
1:9	yx8d			behold	0	Alternate translation: “look” or “listen” or “pay attention to what I am about to tell you”
1:9	eb3a		rc://*/ta/man/translate/figs-metaphor	I blew it away	0	The people not being able to find what they were looking for is spoken of as if Yahweh had blown on dust so it would go away. Alternate translation: “I made sure there was nothing there for you to find” (See: [[rc://*/ta/man/translate/figs-metaphor]])
1:9	g652		rc://*/ta/man/translate/figs-123person	declares Yahweh of hosts	0	Yahweh speaks of himself by name to express the certainty of what he is declaring. Alternate translation: “this is what Yahweh has declared” or “this is what I, Yahweh, have declared” (See: [[rc://*/ta/man/translate/figs-123person]])
1:10	suc8		rc://*/ta/man/translate/figs-metaphor	the heavens withhold the dew from you	0	The dew that appears at night is spoken of as if it formed in the sky and fell like rain. The sky is spoken of as if it were a person who refused to give a present or a parent who refused to feed his child. Alternate translation: “the sky does not allow the dew to fall” or “no dew forms” (See: [[rc://*/ta/man/translate/figs-metaphor]])
