Reference	ID	Tags	SupportReference	Quote	Occurrence	Note
front:intro	v8pn				0	# Introduction to Judges\n\n## Part 1: General Introduction\n\n### Outline of Judges\n\n1. History of the judges of Israel (1:1–16:31)\n    * Introduction (1:1–3:6)\n    * Othniel, Ehud, and Shamgar (3:7–31)\n    * Deborah and Barak (4:1–5:31)\n    * Gideon (6:1–8:35)\n    * Abimelech, Tola, and Jair (9:1–10:5)\n    * Jephthah (10:6–12:7)\n    * Ibzan, Elon, and Abdon (12:8–15)\n    * Samson (13:1–16:31)\n1. The account of Micah and his idols (17:1–18:31)\n1. The account of Gibeah; the other Israelites take revenge (19:1–21:25)\n\n### What is the Book of Judges about?\n\nThe Book of Judges tells of events that occurred after the Israelites settled in the Promised Land. The events in this book happened over a period of about 150 years.\n\nThis book describes how the Israelites repeatedly sinned against Yahweh during this time. They worshiped false gods and did the same wicked things as the peoples who lived around them. Therefore, God would allow enemies to defeat and oppress the Israelites. Eventually, the Israelites would call to Yahweh for help. Yahweh would then cause someone to help the Israelites defeat their enemies. This person was called a “judge.” The Israelites would live in peace until the judge died.\n\nAfter that judge died, the Israelites would start sinning again. So this pattern of events would repeat.\n\n### How should the title of this book be translated?\n\nThis book traditionally has the title “Judges” because it gives accounts of some of the main leaders or judges in Israel before there were any kings over the people. Unless there are good reasons for following the title in other Bible versions, the translator should probably use the title “Judges” or a title such as “The Book about the Leaders in Israel.” (See: [[rc://*/ta/man/translate/translate-names]])\n\n## Part 2: Important Religious and Cultural Concepts\n\n### What kind of leaders were the judges?\n\nThese were men and women whom God chose to help the Israelites defeat their enemies. After defeating their enemies, these leaders usually continued to help the people by deciding disputes among them. They also helped them make important decisions. Many of these leaders served all the people of Israel, but some of these leaders may have served only certain tribes.\n\n### What kind of society was Israel during the time of the judges?\n\nDuring this time, the twelve tribes of Israel were independent of one another. They were not a unified nation with one ruler. The tribes would sometimes help each other when enemies were threatening them.\n\nThese tribes were descended from the same ancestors: Abraham, Isaac, and Jacob. They shared in the same covenant with Yahweh.\n\n### What spiritual struggles did Israel experience during the time of the judges?\n\nDuring this time, Israel struggled to remain faithful to Yahweh. The best judges encouraged Israel to be faithful to him, but some of the judges failed to do so. (See: [[rc://*/tw/dict/bible/kt/faithful]])
1:intro	a4am				0	# Judges 1 General Notes\n\n## Structure and Formatting\n\n- Verses 1–10: Judah conquers its assigned territory\n- Verses 11–16: Caleb and Othniel conquer Debir (Kiriath Sepher)\n- Verses 12–21: Judah and Simeon conquer territory but leave some hostile nations\n- Verses 22–29: Ephraim and Manasseh conquer territory but leave some hostile nations\n- Verses 30–36: Zebulin, Asher, Naphtali, and Dan conquer territory but leave some hostile nations\n\n## Religious and Cultural Concepts in This Chapter\n\n### Cutting off the thumbs and big toes of captured enemies\n\nIn [1:7](../01/07.md), Adoni-Bezek describes how he had his soldiers cut off the thumbs and big toes of the kings he had defeated. This prevented a captured enemy from running away or from ever using a weapon again. However, as the context shows, it was also a way of humiliating a captured king. When the Israelites did this to Adoni-Bezek, he acknowledged that he was getting what he deserved for having done this to others. This is an example of irony in the book of Judges, in which the punishment fits the crime. (See the discussion in the General Introduction.)\n\n### Complete destruction of a city and its people\n\nIn [1:17](../01/17.md), the armies of Judah and Simeon completely destroy a Canaanite city and kill all of its people. They call the place “Hormah,” which means “destruction.” [Deuteronomy 7:1–4](../deu/07/01.md) describes how, when Yahweh was preparing the Israelites to enter the Promised Land, he commanded them to destroy completely the Canaanite people who lived there. They were not to make any treaties with them or to intermarry with them. This was to prevent the Israelites from joining them in worshiping their false gods, which would have led them to develop a culture and society very different from the kind that Yahweh wanted. The book of Joshua describes how the Israelites completely destroyed the major Canaanite cities and their people. In this chapter, [1:17](../01/17.md) describes a further instance of that. However, the Israelites left many of the Canaanite people in the land, and they did intermarry with them and worship their gods. This led the Israelites into many evil practices that made Yahweh very angry with them.\n\n## Translation Issues in This Chapter\n\n### Names of people groups, cities, and Israelite tribes meaning their people or armies\n\nIn this chapter, the author and characters often use the names of people groups or cities by association to mean the people or armies of those groups or cities. For example, when the author says in [1:1](../01/01.md) that the Israelites “fought against Jerusalem,” he means that they fought against the people who lived in that city. The author and characters sometimes also speak of the Israelite tribes as if they were individual people who could talk to one another, go places together, and so forth. For example, the author says in [1:1](../01/01.md), “Then Judah said to Simeon, his brother, ‘Go up with me into my allotment.’” If it would be helpful in your language, you could state the meaning plainly. For example, instead of saying “Judah,” you could say “the people of the tribe of Judah.” (See: [[rc://*/ta/man/translate/figs-metonymy]] and [[rc://*/ta/man/translate/figs-personification]])\n\n### Generic nouns\n\nIn this chapter, the author and characters use expressions such as “the Canaanite,” “the Perizzite,” “the Amorite,” and so forth. They are not referring to specific individuals. Rather, they mean in general the people of the nation mentioned. It may be more natural in your language to express this meaning by using plural forms, for example, “the Canaanites.” (See: [[rc://*/ta/man/translate/figs-genericnoun]])
1:1	j001		rc://*/ta/man/translate/writing-newevent	וַ⁠יְהִ֗י	1	The author is using the phrase **And it happened** to introduce a new event in the story of the people of Israel, which continues here in the book of Judges at the point where it left off at the end of the book of Joshua. Use a word, phrase, or other method in your language that is natural for introducing a new event.
1:1	j002		rc://*/ta/man/translate/figs-metaphor	בְּנֵ֣י יִשְׂרָאֵ֔ל	1	See the discussion of the phrase **the sons of Israel** in the Introduction to Judges. Alternate translation: “the people of Israel”
1:1	j003		rc://*/ta/man/translate/figs-personification	מִ֣י יַעֲלֶה	1	The Israelites are asking Yahweh which of their tribes should be the first to go into its allotment and fight against the Canaanites living there. They are speaking of that tribe as if it were an individual person. (The verb in this phrase is singular, indicating that **Who** is also singular.) See the discussion of this issue, which occurs several times in this chapter, in the General Notes to this chapter. Alternate translation: “What tribe will go up”
1:1	c92j		rc://*/ta/man/translate/figs-exclusive	לָּ֧⁠נוּ	1	By **us**, the Israelites mean themselves but not Yahweh, to whom they are speaking, so use the exclusive form of that word in your translation if your language marks that distinction.
1:1	j231   		rc://*/ta/man/translate/figs-genericnoun	הַֽ⁠כְּנַעֲנִ֛י & בּֽ⁠וֹ	1	As the General Notes to this chapter discuss, here and in similar instances throughout the chapter, this is not a reference to a specific **Canaanite**. Rather, it refers to the Canaanites or the Canaanite nations in general. It may be more natural in your language to express this meaning by using plural forms. Alternate translation: “the Canaanites … against them” or “the Canaanite nations … against them”
1:2	c4zw		rc://*/ta/man/translate/figs-metonymy	יְהוּדָ֣ה	1	Yahweh is using the name **Judah** by association to mean the army that belongs to the tribe of Judah. Alternate translation: “the army of the tribe of Judah”
1:2	j004		rc://*/ta/man/translate/figs-metaphor	הִנֵּ֛ה	1	Yahweh is using the term **Behold**, which literally means “Look,” to focus his listeners’ attention on what he is about to say. In this context, since Yahweh is the speaker, there is also the implication that what follows is something that Yahweh has determined and so is certain to happen. Your language may have a comparable expression that you can use in your translation. Alternate translation: “Indeed”
1:2	j005		rc://*/ta/man/translate/figs-metonymy	נָתַ֥תִּי אֶת־הָ⁠אָ֖רֶץ בְּ⁠יָדֽ⁠וֹ	1	Here, having something in one’s **hand** represents possessing it. If it would be helpful in your language, you could use an equivalent expression or state the meaning plainly. Alternate translation: “I have given them possession of the land”
