Reference	ID	Tags	SupportReference	Quote	Occurrence	Note
front:intro	axt4				0	# Introduction to Malachi\n\n## Part 1: General Introduction\n\n### Outline of Malachi\n\n1. The word of Yahweh comes to Israel (1:1)\n1. Yahweh loves Israel and rejects Esau (Edom) (1:2–5)\n1. A message against the priests (1:6–2:9)\n1. A message against Judah: they have broken faith by divorcing and intermarrying (2:10–16)\n1. A message about the day of refining (2:17–3:6)\n1. A message about tithing (3:7–12)\n1. A message about those who others treated shamefully, but who were faithful to Yahweh (3:13–18)\n1. Yahweh will punish the wicked and send Elijah before the “great and terrible day of Yahweh” (4:5–6)\n\n### What is the Book of Malachi about?\n\nThe Book of Malachi is about the prophecies that Malachi spoke to the Jews who had returned from Babylon to Judah. At that time, the Jews were discouraged even though they had finished building a new temple. The wonderful things that previous prophets had promised for Judah had not yet happened. And the Persian Empire still ruled over them. As a result, they no longer were concerned about the law or worshiping Yahweh. Malachi rebuked them for not trusting in Yahweh. But he also promised them that Yahweh would do everything that he promised to do.\n\n### How should the title of this book be translated?\n\nThis book traditionally has been titled “Malachi” or “The Book of Malachi.” Translators may decide to call it “The Book about Malachi” or “The Sayings of Malachi.” (See: [[rc://*/ta/man/translate/translate-names]])\n\n### Who wrote the Book of Malachi?\n\nThe prophet Malachi wrote these messages from Yahweh to the Jews. However, since “Malachi” means “my messenger,” it is possible that this was a title for this prophet. If so, we do not know his real name.\n\n## Part 2: Important Religious and Cultural Concepts\n\n### What was meant by the day of Yahweh?\n\nMalachi spoke about “the day” several times. This is the same as “the day of Yahweh.” In the Book of Malachi, this is the time when Yahweh would judge his people. He would remove those who wickedly sin and bless those who trust in him. (See: [[rc://*/tw/dict/bible/kt/dayofthelord]] and [[rc://*/tw/dict/bible/kt/sin]])
1:intro	b7vm				0	# Malachi 1 General Notes\n\n## Religious and Cultural Concepts in This Chapter\n\n### Yahweh of hosts\n\nThis is an important title used in this chapter. It reminds the reader of the great power Yahweh has to punish the nations. (See: [[rc://*/tw/dict/bible/kt/yahwehofhosts]])\n\n## Translation Issues in This Chapter\n\n### Rhetorical questions\n\nThere are many rhetorical questions in this chapter. They all have a rather dramatic effect. They increase the emotional connotations of what is being said. (See: [[rc://*/ta/man/translate/figs-rquestion]])
1:1	m3x2		rc://*/ta/man/translate/figs-metaphor	the burden of the word of Yahweh	1	The editor of the book is speaking as if the *word of Yahweh** were literally a **burden** that Malachi was carrying. This is likely a reference to the serious nature of what Yahweh told Malachi to say. If it would be clearer in your language, you could state the meaning plainly. Alternate translation: “the serious word from Yahweh”
1:1	k9f4		rc://*/ta/man/translate/figs-metonymy	the word of Yahweh	1	The editor is using the word **word** by association to mean what Yahweh said by using words. Alternate translation: “the message from Yahweh”
1:1	p2r7		rc://*/ta/man/translate/grammar-collectivenouns	to Israel	1	Since Malachi is referring to a group of people, it might be more natural in your language to use the plural form of **Israel**. Alternate translation: “to the Israelites”
1:1	w5h8		rc://*/ta/man/translate/figs-synecdoche	by the hand of	1	The author is using one part of Malachi, his **hand**, to mean all of him in the act of bringing Yahweh’s message to the Israelites. If it would be helpful in your language, you could state the meaning plainly. Alternate translation: “through”
1:1	t6j9		rc://*/ta/man/translate/translate-names	Malachi	1	This could be translated either as: (1) **Malachi**, the name of a man. The ULT and these notes will follow that interpretation. (2) “my messenger,” as in [3:1](../03/01.md). If a translation of the Bible exists in your region, you may wish to follow the interpretation that it does. If a translation of the Bible does not exist in your region, you may wish to follow the same interpretation as the ULT.
1:2	l1n3		rc://*/ta/man/translate/figs-yousingular	I have loved you	1	The word **you** is plural here because Yahweh is addressing the Israelites as a group, so use the plural form in your translation if your language marks that distinction. The words “you,” “your,” and “yourselves” are usually plural in this book when they refer to the Israelites. These notes will indicate any exceptions. The word “you” is always singular when it refers to Yahweh.
1:2	q7m5		rc://*/ta/man/translate/figs-explicit	But you say	1	Malachi is probably not quoting an actual response from the Judeans. Rather, he is anticipating an objection, stating it, and then answering it. This was a common practice of Jewish public speakers in this time period (and also in New Testament times). The phrase **But you say** occurs throughout the book as Malachi anticipates and answers objections. It would be helpful to translate it consistently so that your readers can appreciate the method he is using to challenge the Judeans. Alternate translation: “Now you may object”
1:2	x4d6		rc://*/ta/man/translate/figs-rquestion	{Was} not Esau a brother to Jacob?	1	Yahweh is using the question form for emphasis. If a speaker of your language would not use the question form for that purpose, you could translate this as a statement or as an exclamation. Alternate translation: “Now Esau was Jacob’s brother”
