Reference	ID	Tags	SupportReference	Quote	Occurrence	Note
front:intro	sa9c				0	# Introduction to the Gospel of Matthew\n\n## Part 1: General Introduction\n\n### Outline of the book of Matthew\n\n1. The birth of Jesus Christ and the beginning of his ministry (1:1-4:25)\n1. Jesus’ Sermon on the Mount (5:1-7:28)\n1. Jesus illustrates the kingdom of God through acts of healing (8:1-9:34)\n1. Jesus teaches about mission and the kingdom (9:35-10:42)\n1. Jesus teaches about the gospel of the kingdom of God. Opposition to Jesus begins. (11:1-12:50)\n1. Jesus tells parables about the kingdom of God (13:1-52)\n1. Further opposition to Jesus and misunderstanding of the kingdom of God (13:53-17:57)\n1. Jesus teaches about life in the kingdom of God (18:1-35)\n1. Jesus ministers in Judea (19:1-22:46)\n1. Jesus teaches about the final judgment and salvation (23:1-25:46)\n1. The crucifixion of Jesus, his death and resurrection (26:1-28:19)\n\n### What is the book of Matthew about?\n\nThe Gospel of Matthew is one of four books in the New Testament that describe some of the life of Jesus Christ. The authors of the Gospels wrote about different aspects of who Jesus was and what he did. Matthew showed that Jesus was the Messiah, and God would save Israel through him. Matthew often explained that Jesus fulfilled the Old Testament prophecies about the Messiah. This may indicate that he expected most of his first readers to be Jewish. (See: [[rc://*/tw/dict/bible/kt/christ]])\n\n### How should the title of this book be translated?\n\nTranslators may choose to call this book by its traditional title, “The Gospel of Matthew,” or “The Gospel according to Matthew.” Or they may choose a title that may be clearer, such as, “The Good News about Jesus that Matthew wrote.” (See: [[rc://*/ta/man/translate/translate-names]])\n\n### Who wrote the book of Matthew?\n\nThe book does not give the name of the author. However, since early Christian times, most Christians have thought that the author was the Apostle Matthew.\n\n## Part 2: Important Religious and Cultural Concepts\n\n### What is the “kingdom of heaven?”\n\nMatthew spoke of the “kingdom of heaven” in the same way that other Gospel writers spoke of the kingdom of God. The kingdom of heaven represents God ruling over all people and all creation everywhere. Those whom God accepts into his kingdom will be blessed. They will live with God forever.\n\n### What were the teaching methods of Jesus?\n\nThe people regarded Jesus as a rabbi. A rabbi is a teacher of God’s law. Jesus taught in ways similar those of other religious teachers in Israel. He had students who followed him wherever he went. These students were called disciples. He often told parables. Parables are stories that teach moral lessons. (See: [[rc://*/tw/dict/bible/kt/lawofmoses]] and [[rc://*/tw/dict/bible/kt/disciple]] and [[rc://*/tw/dict/bible/kt/parable]])\n\n## Part 3: Important Translation Issues\n\n### What are the Synoptic Gospels?\n\nThe Gospels of Matthew, Mark, and Luke are called the Synoptic Gospels because they have many similar passages. The word “synoptic” means to “see together.”\n\nThe texts are considered “parallel” when they are the same or almost the same among two or three gospels. When translating parallel passages, translators should use the same wording and make them as similar as possible.\n\n### Why does Jesus refer to himself as the “Son of Man”?\n\nIn the gospels, Jesus calls himself the “Son of Man.” It is a reference to Daniel 7:13-14. In that passage there is a person described as a “son of man.” That means the person was someone who looked like a human being. God gave authority to the son of man to rule over the nations forever. All the people will worship him forever.\n\nJews of Jesus’ time did not use “Son of Man” as a title for anyone. Therefore, Jesus used it for himself to help them understand who he truly was. (See: [[rc://*/tw/dict/bible/kt/sonofman]])\n\nTranslating the title “Son of Man” can be difficult in many languages. Readers may misunderstand a literal translation. Translators can consider alternatives, such as “The Human One.” It may also be helpful to include a footnote to explain the title.\n\n### What are the major issues in the text of the book of Matthew?\n\nThe following verses are found in older versions of the Bible but are not included in most modern versions:\n* “Bless those who curse you; do good to those who hate you” (5:44)\n* “For yours is the kingdom and the power and the glory forever. Amen” (6:13)\n* “But this kind of demon does not go out except with prayer and fasting” (17:21)\n* “For the Son of Man came to save that which was lost” (18:11)\n* “Many are called, but few are chosen” (20:16)\n* “Woe to you, scribes and Pharisees, hypocrites! for you devour widows’ houses, while you make a show of long prayers. You will therefore receive greater condemnation.” (23:14)\n\nTranslators are advised not to include these passages. However, if in the translators’ region, there are older versions of the Bible that include one or more of these passages, the translators may include them. If they are included, they should be put inside square brackets ([]) to indicate that they were probably not original to Matthew’s Gospel. (See: [[rc://*/ta/man/translate/translate-textvariants]])
1:intro	y7kk				0	# Matthew 1 General Notes\n\n## Structure and Formatting\n\n1. The birth of Jesus Christ and the beginning of his ministry (1:1-4:25)\n      * The genealogy of Jesus (1:1–17)\n      * Jesus’ parents and birth (1:18–25)\n\nSome translations set a quotation from the Old Testament farther to the right on the page than the rest of the text. The ULT does this in [1:23](../01/23.md) with the quote from [Isaiah 7:14](../isa/07/14.md).\n\n## Special Concepts in this Chapter\n\n### Genealogy\n\nA genealogy is a list that records a person’s ancestors or descendants. Genealogies were important to the Jewish people because family lineage is how they decided how someone functioned in society. For instance, if someone was a descendant of Aaron, they were able to become priests. Similarly, if someone was a descendant of King David, they were able to become a king. This genealogy shows that Jesus was clearly a descendant of King David, and therefore, was able to become king.\n\n### The word “fathered”\n\nWhen Matthew uses the word “fathered,” he only means that the older man was an ancestor of the younger man. In most cases, the older man is the direct father of the younger man. However, sometimes the older man is a grandfather (for example, Josiah is the grandfather of Jechoniah) or a more distant ancestor (for example, Joram is the great-great-grandfather of Ozias). If possible, use a word that indicates that the older man is the ancestor of the younger man without stating that the older man is the father of the younger man. If you need to be more specific, the UST provides one way to do so.\n\n### Three groups of 14\n\nMatthew concludes the genealogy by dividing it up three groups of 14 generations. He divides the groups by using two key events in Israel’s history: David starting his dynasty and the Babylonians capturing Jerusalem. In order to count 14 generations from Abraham until David, both Abraham and David need to be included. To count 14 generations from David until the Babylonian deportation, David needs to be excluded but Jechoniah needs to be included. To count 14 generations from the Babylonian deportation until the Christ, both Jechoniah and Christ need to be included. The ULT and UST divide the section into paragraphs based on the divisions. Consider how you might show these divisions in your translation.\n\n## Other Possible Translation Difficulties in this Chapter\n\n### Stating that Mary became pregnant\n\nIn [1:18](../01/18.md), [1:20](../01/20.md), and [1:23](../01/23.md), Matthew refers to a woman becoming pregnant, but he excludes the involvement of a man in the process. He uses the phrases “to have in the womb” and “having been conceived in her” to avoid referring to the male role in conception. In your translation, you should not identify the Holy Spirit as the one who performed the normal male role, since the Holy Spirit did not have sex with Mary. Instead, the Holy Spirit performed a miracle. So, use a form that does not refer to the male role in conception or a form that denies that a man was involved.\n\n### Translating names\n\nIn the genealogy, Matthew uses specific Greek spellings of names. These spellings do not always match the Hebrew spellings of the names that you can read in the Old Testament. The ULT and UST spell out how these names sound as Matthew wrote them in Greek. In contrast, some translations spell out these names as they appear in the Old Testament. Consider spelling these names as do other translations that your readers might be familiar with. Otherwise, consider whether your team wishes to spell names in the same way throughout the Bible or whether you will spell them differently in different places. If you do spell them differently in different places, you may need to include footnotes that provide other spellings.
1:1	n4xw		rc://*/ta/man/translate/figs-explicit	βίβλος γενέσεως	1	Here, the phrase **book of the genealogy** could refer to: (1) just the list of Jesus’ ancestors that follows in [1:2–17](../01/02.md). Alternate translation: “The book of the ancestry” (2) the list of Jesus’ ancestors as well as information about his birth and childhood (see [1:2–2:23](../01/02.md)). Alternate translation: “The book of the ancestors and birth”
1:1	a1t0		rc://*/ta/man/translate/figs-possession	βίβλος γενέσεως Ἰησοῦ Χριστοῦ	1	Here, Matthew is using the possessive form to describe a **book** that contains the **genealogy** that lists the ancestors of **Jesus Christ**. If this is not clear in your language, you could express the idea in another way. Alternate translation: “The book that contains the genealogy concerning Jesus Christ”
1:1	nlc8		rc://*/ta/man/translate/figs-metonymy	βίβλος	1	Here, **book** represents a written record. If it would be helpful in your language, you could use an equivalent expression from your language or state the meaning plainly. Alternate translation: “The written record” or “The list”
1:1	vpg1		rc://*/ta/man/translate/figs-metaphor	υἱοῦ Δαυεὶδ, υἱοῦ Ἀβραάμ	1	Here, Matthew is speaking of a male descendant as if he were a **son**. If it would be clearer in your language, you could state the meaning plainly. Alternate translation: “who is descended from David, who is descended from Abraham”
1:1	zw1t		rc://*/ta/man/translate/figs-explicit	υἱοῦ Ἀβραάμ	1	Here Matthew could mean: (1) that David is a **son of Abraham**. Alternate translation: “who was a son of Abraham” (2) that Jesus is a **son of Abraham**. Alternate translation: “and also son of Abraham”
1:2	cyc6		rc://*/ta/man/translate/translate-names	Ἀβραὰμ ἐγέννησεν τὸν Ἰσαάκ, Ἰσαὰκ δὲ ἐγέννησεν τὸν Ἰακώβ, Ἰακὼβ δὲ ἐγέννησεν τὸν Ἰούδαν καὶ τοὺς ἀδελφοὺς αὐτοῦ	1	Here Matthew begins a list of Jesus’ ancestors. Consider how people normally list ancestors in your language. Use the same wording throughout the whole list ([1:2–16](../01/02.md)). Possible formats are: (1) “Abraham’s son was Isaac, and Isaac’s son was Jacob, and Jacob’s sons were Judah and his brothers” (2) “Isaac’s father was Abraham, and Jacob’s father was Isaac, and Judah’s father was Jacob” (3) “Abraham fathered Isaac, who fathered Jacob, who fathered Judah and his brothers”
1:2	wiqy		rc://*/ta/man/translate/translate-names	Ἀβραὰμ & τὸν Ἰσαάκ, Ἰσαὰκ & τὸν Ἰακώβ, Ἰακὼβ & τὸν Ἰούδαν	1	Unless a note specifies otherwise, all the names in the list of ancestors ([1:2–16](../01/02.md)) are names of men.
1:2	pl71		rc://*/ta/man/translate/translate-kinship	τοὺς ἀδελφοὺς αὐτοῦ	1	**Judah** had 11 **brothers**, and some of them were older and some of them were younger. Make sure this is clear if your language marks these distinctions.
