Reference	ID	Tags	SupportReference	Quote	Occurrence	Note
front:intro	xx8l				0	# Introduction to Revelation\n\n## Part 1: General Introduction\n\n### Outline of the book of Revelation\n\n1. Opening (1:1–20)\n2. Letters to the seven churches (2:1–3:22)\n3. Vision of God and the Lamb in heaven (4:1–5:14)\n4. The seven seals (6:1–8:1)\n5. The seven trumpets (8:2–13:18)\n6. Worship of the Lamb and judgment against Babylon (14:1–20)\n7. The seven bowls (15:1–18:24)\n8. Worship in heaven (19:1–10)\n9. The destruction of the beast (19:11–21)\n10. The thousand years, destruction of Satan, and final judgment (20:1–15)\n10. The new creation and the new Jerusalem (21:1–22:5)\n11. Closing (22:6–21)\n\n### Who wrote the book of Revelation?\n\nThe author identifies himself as John. Many interpreters believe that this means he was the apostle John. However, other interpreters believe this was a different man named John, a prophet who had a ministry among the seven churches described in chapters 2 and 3. In either case, this man wrote the book while on the island of Patmos. The Romans had exiled him there for teaching people about Jesus.\n\n### What type of writing is the book of Revelation?\n\nJohn used a special style of writing to describe his visions. John described what he saw by using many symbols. This style of writing is called symbolic prophecy or apocalyptic literature, and a book written in this style is called an apocalypse.\n\nNo other book of the Bible is written entirely in apocalyptic style like the book of Revelation. However, some passages in the books of Ezekiel, Zechariah, and especially Daniel are similar in content and style to Revelation. It may be beneficial to translate Revelation at the same time as Daniel since those two books have a similar style and some shared imagery. (See: [[rc://*/ta/man/translate/writing-apocalyptic]])\n\n### How should the title of this book be translated?\n\nTranslators may choose to call this book by one of its traditional titles, such as “Revelation,” “The Revelation of Jesus Christ,” “The Revelation to Saint John,” or “The Apocalypse of John.” Or they may choose a different title such as “The Things that Jesus Christ Showed to John.” (See: [[rc://*/ta/man/translate/translate-names]])\n\n### What is the book of Revelation about?\n\nJohn wrote the book of Revelation to encourage believers to remain faithful even when suffering persecution. In the book, John describes visions he had of Satan and his followers fighting against and killing believers. In these visions, God causes many terrible things to happen on earth to punish wicked people. In the end, Jesus defeats Satan and his followers. Then Jesus comforts those who were faithful. Those believers will live forever with God in the new heavens and earth.\n\n### Does one need to understand the book of Revelation in order to translate it?\n\nThe book provides the reader with some idea of how to understand its symbols by interpreting a few of them at the beginning (1:20) and near the end (19:8). But one does not need to understand all of the symbols in the book of Revelation in order to translate it properly. Translators should not suggest possible meanings for the symbols in their translations. (See: [[rc://*/ta/man/translate/writing-apocalyptic]])\n\n### Are the events of Revelation past or future?\n\nSince early Christian times, scholars have interpreted Revelation differently. Some scholars think John described events that happened during his lifetime. Other scholars think John described events that happened throughout history, from his time until the return of Jesus. Still other scholars think John described events that will happen in a short period of time just before Christ returns.\n\nTranslators do not need to decide about the time reference of the visions in this book in order to translate it, and they should be careful not to let their own beliefs influence how they translate. They should leave the prophecies in the tenses that are used in the ULT.\n\n## Part 2: Important Religious and Cultural Concepts\n\n### Angels\n\nPeople in this culture recognized that God uses created spirits called angels to carry out his purposes. In the book of Revelation, John describes seeing visions of angels announcing and executing God’s judgments.
1:intro	u1e2				0	# Revelation 1 General Notes\n\n## Structure and formatting\n\nThis chapter explains how the book of Revelation records the vision John received on the island of Patmos.\n\n- Prologue (1:1-8)\n\n    Preface (1:1-3)\n    Address and Doxology (1:4-6)\n    Theme (1:7-8)\n\n- John’s Vision of Christ (1:9-20)\n\nSome translations set quotations from the Old Testament farther to the right on the page to make them easier to read. The ULT does this with the words quoted in verse 7.\n\n## Special concepts in this chapter\n\n### Seven churches\n\nJohn wrote this book to seven actual churches in the Roman province of Asia, which was located in the western part of what is now the country of Turkey.
1:1	rkh9		rc://*/ta/man/translate/figs-abstractnouns	ἀποκάλυψις Ἰησοῦ Χριστοῦ, ἣν	1	If your language does not use an abstract noun for the idea of **revelation**, you could express the same idea in another way. Alternate translation: “What God disclosed to Jesus Christ, which” or “The matters that God revealed to Jesus Christ, which” (See: [[rc://*/ta/man/translate/figs-abstractnouns]])
1:1	kv41		rc://*/ta/man/translate/figs-possession	ἀποκάλυψις Ἰησοῦ Χριστοῦ	1	This phrase could mean: (1) that this book is **revelation** that came to Jesus from God. Alternate translation: “The revelation to Jesus Christ” (2) that this book is **revelation** that came from Jesus to the author of the book, namely John. Alternate translation: “The revelation from Jesus Christ” (See: [[rc://*/ta/man/translate/figs-possession]])
1:1	ik5v		rc://*/ta/man/translate/figs-explicit	τοῖς δούλοις αὐτοῦ	1	Here, **his servants** refers to people who believe in Jesus Christ and serve him as their Lord. If it would be helpful to your readers, you could indicate that explicitly. Alternative translation: “those who serve him” (See: [[rc://*/ta/man/translate/figs-explicit]])
1:1	x8bu			ἃ δεῖ γενέσθαι ἐν τάχει	1	Alternate translation: “the events that must happen soon”
1:1	kez4		rc://*/ta/man/translate/writing-pronouns	ἐσήμανεν	1	The pronoun **he** here refers to **Jesus Christ** and **it** refers to the **revelation**. It may be helpful to clarify this for your readers. Alternate translation: “Jesus communicated that revelation” (See: [[rc://*/ta/man/translate/writing-pronouns]])
1:1	kz6m			ἀποστείλας διὰ τοῦ ἀγγέλου αὐτοῦ	1	Alternate translation: “by sending his angel to reveal it”
1:1	hz2w		rc://*/ta/man/translate/translate-names	Ἰωάννῃ	1	The word **John** is the name of a man. See the General Introduction to Revelation for a discussion of who this man may have been. (See: [[rc://*/ta/man/translate/translate-names]])
1:1	pb4u		rc://*/ta/man/translate/figs-123person	τῷ δούλῳ αὐτοῦ, Ἰωάννῃ	1	**John** is referring to himself in the third person here. If it would be helpful in your language, you could translate this in the first person. Alternate translation: “to me, John, his servant” (See: [[rc://*/ta/man/translate/figs-123person]])
