Reference	ID	Tags	SupportReference	Quote	Occurrence	Note
front:intro	l57g				0	# Introduction to Zephaniah\n\n## Part 1: General Introduction\n\n### Outline of the Book of Zephaniah\n\n1. Zephaniah introduces this book (1:1)\n1. Yahweh will punish Judah and the nations (1:2–18)\n1. Yahweh calls Judah to repent (2:1–3)\n1. Yahweh will judge the nations (2:4–15)\n    * Philistia (2:4–7)\n    * Moab and Ammon (2:8–11)\n    * Egypt (2:12)\n    * Assyria (2:13–15)\n1. Yahweh will judge Jerusalem (3:1–8)\n1. Yahweh will purify, restore, gather, and bless his people (3:9–20)\n\n### What is the Book of Zephaniah about?\n\nZechariah warned Judah and other nations that Yahweh was about to punish them. He also prophesied about how Yahweh would restore Judah. (See: [[rc://*/tw/dict/bible/kt/dayofthelord]])\n\n### How should the title of this book be translated?\n\nThe traditional name of this book is “The Book of Zephaniah” or just “Zephaniah.” Translators may decide to call it “The Sayings of Zephaniah.” (See: [[rc://*/ta/man/translate/translate-names]])\n\n### Who wrote the Book of Zephaniah?\n\nZephaniah wrote this book. But four different Old Testament people have the name Zephaniah. This Zephaniah was probably the great-grandson of King Hezekiah and a cousin to King Josiah. Zephaniah lived in the city of Jerusalem. He began to prophesy about seventy years after the prophets Isaiah and Micah. Zephaniah spoke Yahweh’s messages during the reign of King Josiah (about 640–621 B.C.), and just before Jeremiah began to prophesy.\n\n## Part 2: Important Religious and Cultural Concepts\n\n### Were the people of Judah faithful to Yahweh at the time Zephaniah started to prophesy?\n\nManasseh, the grandfather of Josiah, had been one of the worst kings of Judah. He led the people to worship other gods. After his death, his son Amon ruled for only two years before he was killed. Amon’s son Josiah became king when he was eight years old. Josiah learned to worship and honor Yahweh. Zephaniah likely began his work after Josiah had destroyed most of the idols and shrines of false gods in Judah. (See: [[rc://*/tw/dict/bible/kt/falsegod]])\n\n### What country is coming to invade Judah?\n\nZephaniah often said a foreign nation would invade the kingdom of Judah. Zephaniah probably meant Babylonia. However, the Book of Zephaniah never names this nation.
1:intro	t3tv				0	# Zephaniah 1 General Notes\n\n## Structure and formatting\n\nSome translations set each line of poetry farther to the right than the rest of the text to make it easier to read. The ULT does this with the poetic song in 1:2–18.\n\n## Special concepts in this chapter\n\n### Prophecy\n\nIn this chapter, it is unclear whether these prophecies concern the fall of Jerusalem, the coming of the Messiah or the day of the Lord. It is possible that the prophecies reference more than one period of time. (See: [[rc://*/tw/dict/bible/kt/prophet]] and [[rc://*/tw/dict/bible/kt/christ]] and [[rc://*/tw/dict/bible/kt/dayofthelord]])
1:1	w6l8				0	# General Information:\n\nVerses 1:2–18 refer to Yahweh’s judgment. Verses 1:2–3 describe Yahweh’s final judgment of every sinner in the future.
1:1	k2ge		rc://*/ta/man/translate/figs-idiom	the word of Yahweh that came	0	This idiom is used to introduce a special message from God. Alternate translation: “Yahweh gave a message” or “Yahweh spoke this message”
1:1	exz8			Yahweh	0	This is the name of God that he revealed to his people in the Old Testament. See the translationWord page about Yahweh concerning how to translate this.
1:1	zlc5		rc://*/ta/man/translate/figs-explicit	son of Gedaliah son of Amariah son of Hezekiah	0	This is a list of Zephaniah’s ancestors. These usages of “son of” are the broader sense of “descendant of.” Here “Hezekiah” refers to King Hezekiah. These things can be made explicit. Alternate translation: “the grandson of Gedaliah, and the great-grandson of Amariah, whose father was King Hezekiah”
1:2	x2u5		rc://*/ta/man/translate/figs-hyperbole	I will utterly destroy everything from off the surface of the earth	0	The words “everything” and “will cut off man” are deliberate exaggerations by Yahweh to express his anger at the people’s sin. Yahweh will destroy neither sinners who repent nor all living things.
1:2	atu6			destroy everything from off the surface of the earth	0	Alternate translation: “destroy everything that is on the entire earth”
1:2	fg27		rc://*/ta/man/translate/figs-123person	this is Yahweh’s declaration	0	Yahweh speaks of himself by name to express the certainty of what he is declaring. Alternate translation: “this is what Yahweh has declared” or “this is what I, Yahweh, have declared”
1:3	aqr7			I will cut off man from the surface of the earth	0	“I will kill all people.” This is a hyperbole, as in [Zephaniah 1:2](./02.md).
